Date:	Tue, Nov 26, 2013		
measured by:	Rotem		
p-Si H, 1-10Ohm 5 Offset, 6 min 40 after, second spot no offset			
Time [s]	CPD stream	Light	SPV
0.000000	-457.620000		
0.500000	-457.610000		
1.000000	-457.373000		
1.500000	-457.373000		
2.000000	-457.308000		
2.500000	-456.970000		
3.000000	-457.258000		
3.500000	-457.378000		
4.000000	-457.193000		
4.500000	-457.151000		
5.000000	-457.257000		
5.500000	-457.252000		
6.000000	-457.297000		
6.500000	-457.162000		
7.000000	-457.351000		
7.500000	-457.366000		
8.000000	-456.988000		
8.500000	-457.094000		
9.000000	-456.994000		
9.500000	-456.853000		
10.000000	-457.010000		
10.500000	-457.022000		
11.000000	-457.461000		
11.500000	-457.542000		
12.000000	-457.275000		
12.500000	-457.201000		
13.000000	-456.871000		
13.500000	-456.853000		
14.000000	-457.140000		
14.500000	-457.185000		
15.000000	-457.112000		
15.500000	-457.344000		
16.000000	-457.019000		
16.500000	-457.240000		
17.000000	-457.208000		
17.500000	-457.369000		
18.000000	-457.559000		
18.500000	-457.691000		
19.000000	-457.408000		
19.500000	-457.544000		
20.000000	-457.379000		
20.500000	-457.241000		
21.000000	-457.529000		
21.500000	-457.382000		
22.000000	-457.133000		
22.500000	-457.130000		
23.000000	-457.132000		
23.500000	-457.427000		
24.000000	-457.301000		
24.500000	-457.467000		
25.000000	-457.591000		
25.500000	-457.661000		
26.000000	-457.269000		
26.500000	-457.579000		
27.000000	-457.605000		
27.500000	-457.494000		
28.000000	-457.509000		
28.500000	-457.227000		
29.000000	-457.421000		
29.500000	-457.521000		
30.000000	-457.347000		
30.500000	-457.264000		
31.000000	-457.091000		
31.500000	-456.833000		
32.000000	-457.283000		
32.500000	-457.321000		
33.000000	-457.116000		
33.500000	-457.316000		
34.000000	-457.501000		
34.500000	-457.538000		
35.000000	-457.468000		
35.500000	-457.582000		
36.000000	-457.622000		
36.500000	-457.869000		
37.000000	-458.076000		
37.500000	-458.093000		
38.000000	-457.490000		
38.500000	-457.664000		
39.000000	-457.946000		
39.500000	-457.497000		
40.000000	-457.307000		
40.500000	-457.453000		
41.000000	-457.142000		
41.500000	-457.145000		
42.000000	-457.833000		
42.500000	-457.799000		
43.000000	-457.560000		
43.500000	-457.652000		
44.000000	-457.630000		
44.500000	-457.574000		
45.000000	-457.883000		
45.500000	-457.864000		
46.000000	-458.120000		
46.500000	-458.164000		
47.000000	-458.101000		
47.500000	-458.029000		
48.000000	-457.889000		
48.500000	-457.924000		
49.000000	-457.831000		
49.500000	-457.654000		
50.000000	-457.682000		
50.500000	-457.887000		
51.000000	-457.913000		
51.500000	-458.167000		
52.000000	-457.991000		
52.500000	-457.762000		
53.000000	-457.825000		
53.500000	-457.788000		
54.000000	-457.908000		
62.500000	-458.104000		
63.000000	-458.442000		
63.500000	-458.257000		
64.000000	-458.578000		
64.500000	-458.518000		
65.000000	-458.249000		
65.500000	-458.419000		
66.000000	-458.411000		
66.500000	-458.295000		
67.000000	-457.818000		
67.500000	-457.513000		
68.001000	-457.750000		
68.500000	-458.086000		
69.000000	-458.128000		
69.500000	-458.023000		
70.000000	-457.721000		
70.500000	-457.950000		
71.000000	-458.037000		
71.500000	-457.944000		
72.000000	-458.133000		
72.501000	-458.162000		
73.000000	-458.078000		
73.500000	-457.948000		
