Date:	Tue, Nov 26, 2013		
measured by:	Rotem		
p-Si H, 1-10Ohm 5 Offset,9 min after, third spot no offset			
Time [s]	CPD stream	Light	SPV
0.000000	-470.951000		
0.500000	-470.863000		
1.000000	-470.997000		
1.500000	-470.992000		
2.000000	-471.323000		
2.500000	-471.242000		
3.000000	-471.100000		
3.500000	-470.965000		
4.000000	-471.094000		
4.500000	-471.267000		
5.000000	-470.845000		
5.500000	-471.133000		
6.000000	-471.029000		
6.500000	-471.236000		
7.000000	-471.037000		
7.500000	-471.332000		
8.000000	-471.313000		
8.500000	-471.238000		
9.000000	-471.350000		
9.500000	-471.573000		
10.000000	-471.685000		
10.500000	-471.760000		
11.000000	-471.613000		
11.500000	-471.475000		
12.000000	-471.739000		
12.500000	-471.794000		
13.000000	-471.849000		
13.500000	-471.704000		
14.000000	-471.267000		
14.500000	-471.465000		
15.000000	-471.712000		
15.500000	-471.747000		
16.000000	-471.725000		
16.500000	-471.762000		
17.000000	-471.981000		
17.500000	-472.137000		
18.000000	-472.290000		
18.500000	-472.230000		
19.000000	-472.344000		
19.500000	-472.092000		
20.000000	-471.917000		
20.500000	-471.987000		
21.000000	-472.422000		
21.500000	-472.142000		
22.000000	-471.808000		
22.500000	-471.566000		
23.000000	-471.833000		
23.500000	-471.743000		
24.000000	-471.968000		
24.500000	-472.060000		
25.000000	-472.349000		
25.500000	-472.098000		
26.000000	-472.057000		
26.500000	-472.024000		
27.000000	-472.005000		
27.500000	-471.851000		
28.000000	-471.853000		
28.500000	-472.204000		
29.000000	-472.278000		
29.500000	-472.217000		
30.000000	-472.267000		
30.500000	-472.412000		
31.000000	-472.202000		
31.500000	-472.228000		
32.000000	-472.339000		
32.500000	-472.368000		
33.000000	-472.091000		
33.500000	-472.072000		
34.000000	-471.987000		
34.500000	-471.882000		
35.000000	-472.221000		
35.500000	-472.072000		
36.000000	-471.939000		
36.500000	-472.075000		
37.000000	-472.111000		
37.500000	-472.151000		
38.000000	-472.297000		
38.500000	-472.642000		
39.000000	-472.184000		
39.500000	-472.440000		
40.000000	-472.387000		
40.500000	-472.115000		
41.000000	-472.272000		
41.500000	-472.291000		
42.000000	-472.551000		
42.500000	-472.683000		
43.000000	-472.845000		
43.500000	-472.335000		
44.000000	-472.096000		
44.500000	-472.385000		
45.000000	-472.648000		
45.500000	-472.528000		
46.000000	-472.293000		
46.500000	-472.490000		
47.000000	-472.491000		
47.500000	-472.297000		
48.000000	-472.514000		
48.500000	-472.352000		
49.000000	-472.500000		
49.500000	-472.416000		
50.000000	-472.372000		
50.500000	-472.465000		
51.000000	-472.632000		
51.500000	-472.863000		
52.000000	-472.558000		
52.500000	-472.621000		
53.000000	-472.634000		
53.500000	-472.212000		
54.000000	-472.113000		
54.500000	-472.134000		
55.000000	-472.040000		
55.500000	-472.235000		
56.000000	-472.232000		
56.500000	-472.053000		
57.000000	-472.065000		
57.500000	-472.177000		
58.000000	-472.547000		
58.500000	-472.377000		
59.000000	-472.319000		
59.500000	-472.597000		
60.000000	-472.516000		
60.500000	-472.316000		
61.000000	-472.386000		
61.500000	-472.406000		
62.000000	-472.455000		
62.500000	-472.599000		
63.000000	-472.711000		
63.500000	-472.953000		
64.000000	-472.759000		
64.500000	-472.851000		
65.000000	-472.981000		
65.500000	-472.778000		
66.000000	-472.698000		
66.500000	-472.520000		
67.000000	-472.660000		
67.500000	-472.658000		
68.000000	-472.588000		
68.500000	-472.742000		
69.000000	-472.539000		
69.500000	-472.379000		
70.000000	-472.339000		
70.500000	-472.364000		
71.000000	-472.361000		
71.500000	-472.273000		
72.000000	-471.960000		
72.500000	-472.114000		
73.000000	-472.128000		
