Date:	Tue, Nov 26, 2013		
measured by:	Rotem		
p-Si H, 1-10Ohm 5 Offset, 6 min 15 after, same spot, no offset			
Time [s]	CPD stream	Light	SPV
0.000000	-528.310000		
0.500000	-528.351000		
1.000000	-528.564000		
1.500000	-528.525000		
2.000000	-528.512000		
2.500000	-528.454000		
3.000000	-528.365000		
3.500000	-528.338000		
4.000000	-528.037000		
4.500000	-527.952000		
5.000000	-528.000000		
5.500000	-528.156000		
6.000000	-528.134000		
6.500000	-527.923000		
7.000000	-528.110000		
7.500000	-528.195000		
8.000000	-528.085000		
8.500000	-527.856000		
9.000000	-527.697000		
9.500000	-527.562000		
10.000000	-527.673000		
10.500000	-527.894000		
11.000000	-527.690000		
11.500000	-527.860000		
12.001000	-528.158000		
12.500000	-527.901000		
13.000000	-527.696000		
13.500000	-527.543000		
14.000000	-527.212000		
14.500000	-527.418000		
15.000000	-527.494000		
15.500000	-527.834000		
16.000000	-527.862000		
16.500000	-527.888000		
17.000000	-527.828000		
17.500000	-527.873000		
18.000000	-527.642000		
18.500000	-527.553000		
19.000000	-527.122000		
19.500000	-527.240000		
20.000000	-527.453000		
20.500000	-527.359000		
21.000000	-527.520000		
21.500000	-527.218000		
22.000000	-527.321000		
22.500000	-527.127000		
23.000000	-527.025000		
23.500000	-527.452000		
24.000000	-527.768000		
24.500000	-528.163000		
25.000000	-528.320000		
25.500000	-527.542000		
26.000000	-527.394000		
26.500000	-527.243000		
27.000000	-527.232000		
27.500000	-527.264000		
28.000000	-527.317000		
28.500000	-527.171000		
29.000000	-527.370000		
29.500000	-527.021000		
30.000000	-526.938000		
30.500000	-527.287000		
31.000000	-527.249000		
31.500000	-527.177000		
32.000000	-527.137000		
32.500000	-526.950000		
33.000000	-527.125000		
33.500000	-527.277000		
34.000000	-527.100000		
34.500000	-527.101000		
35.000000	-527.155000		
35.500000	-527.250000		
36.000000	-527.067000		
36.500000	-527.080000		
37.000000	-526.796000		
37.500000	-526.908000		
38.000000	-526.881000		
38.500000	-527.053000		
39.000000	-527.066000		
39.500000	-527.091000		
40.000000	-527.253000		
40.500000	-527.093000		
41.000000	-526.937000		
41.500000	-526.828000		
42.000000	-526.623000		
42.500000	-526.842000		
43.000000	-526.998000		
43.500000	-527.104000		
44.000000	-527.054000		
44.500000	-527.095000		
45.000000	-527.202000		
45.500000	-527.101000		
46.000000	-526.749000		
46.500000	-526.961000		
60.000000	-526.829000		
60.500000	-526.807000		
61.000000	-526.764000		
61.500000	-527.043000		
62.000000	-526.638000		
62.500000	-526.611000		
63.000000	-526.825000		
63.500000	-526.899000		
64.000000	-526.903000		
64.500000	-526.785000		
65.000000	-526.957000		
