Date:	Wed, Jan 15, 2014		
measured by:	Rotem		
Sample 2 SPV: 			
Time [s]	CPD stream	Light	SPV
0.000000	-599.064000		
0.500000	-599.305000		
1.000000	-598.992000		
1.501000	-598.746000		
2.000000	-598.515000		
2.501000	-598.580000		
3.000000	-598.543000		
3.501000	-598.771000		
4.000000	-598.304000		
4.500000	-598.905000		
5.000000	-598.940000		
5.500000	-598.653000		
6.000000	-598.691000		
6.500000	-598.888000		
7.000000	-598.908000		
7.500000	-598.637000		
8.000000	-598.330000		
8.500000	-598.164000		
9.000000	-598.279000		
9.500000	-598.401000		
10.001000	-598.492000		
10.500000	-598.417000		
11.000000	-598.341000		
11.500000	-598.150000		
12.000000	-598.139000		
12.500000	-597.863000		
13.000000	-598.011000		
13.500000	-597.630000		
14.000000	-597.651000		
14.500000	-597.913000		
15.000000	-597.821000		
15.500000	-597.838000		
16.000000	-597.871000		
16.500000	-597.763000		
17.000000	-597.833000		
17.500000	-598.001000		
18.000000	-597.921000		
18.500000	-597.932000		
19.000000	-597.774000		
19.500000	-597.650000		
20.000000	-597.589000		
20.500000	-597.568000		
21.000000	-597.283000		
21.500000	-597.372000		
22.000000	-597.364000		
22.500000	-597.466000		
23.000000	-597.394000		
23.500000	-597.541000		
24.000000	-597.603000		
24.500000	-597.392000		
25.000000	-597.326000		
25.500000	-597.063000		
26.000000	-597.209000		
26.500000	-597.096000		
27.000000	-597.443000		
27.500000	-597.430000		
28.000000	-597.345000		
28.500000	-597.324000		
29.000000	-597.200000		
29.500000	-597.068000		
30.000000	-596.931000		
30.500000	-597.016000		
31.000000	-596.944000		
31.500000	-597.047000		
32.000000	-597.193000		
32.500000	-597.066000		
33.000000	-596.966000		
33.500000	-596.734000		
34.000000	-596.874000		
34.500000	-596.532000		
35.000000	-596.532000		
35.500000	-596.765000		
36.000000	-596.639000		
36.500000	-596.639000		
37.000000	-596.834000		
37.500000	-596.992000		
38.000000	-596.752000		
38.500000	-596.689000		
39.000000	-596.099000		
39.500000	-595.925000		
40.000000	-595.793000		
40.500000	-595.871000		
41.000000	-596.079000		
41.500000	-596.386000		
42.000000	-596.560000		
42.500000	-596.695000		
43.000000	-596.503000		
43.500000	-596.353000		
44.000000	-596.316000		
44.500000	-596.280000		
45.000000	-596.085000		
45.500000	-596.065000		
46.000000	-596.053000		
46.500000	-596.072000		
47.000000	-596.112000		
47.500000	-596.248000		
48.000000	-596.183000		
48.500000	-596.533000		
49.000000	-596.014000		
49.500000	-595.754000		
50.000000	-595.853000		
50.500000	-595.780000		
51.000000	-595.647000		
51.500000	-595.580000		
52.000000	-595.654000		
52.500000	-595.900000		
53.000000	-596.298000		
53.500000	-595.971000		
54.000000	-595.847000		
54.500000	-595.965000		
55.000000	-595.591000		
55.500000	-595.654000		
56.000000	-595.624000		
56.500000	-595.468000		
57.000000	-595.357000		
57.500000	-595.549000		
58.000000	-595.674000		
58.500000	-595.506000		
59.000000	-595.193000		
59.500000	-595.527000		
60.000000	-595.623000		
60.500000	-595.477000		
61.000000	-595.452000		
61.500000	-595.497000		
62.000000	-595.585000		
62.500000	-595.492000		
63.000000	-595.375000		
63.500000	-595.599000		
64.000000	-595.457000		
64.500000	-595.695000		
65.000000	-595.481000		
65.500000	-595.464000		
66.000000	-595.410000		
66.500000	-595.724000		
67.000000	-595.402000		
67.500000	-595.195000		
68.000000	-595.021000		
68.500000	-595.365000		
69.000000	-595.369000		
69.500000	-595.252000		
70.000000	-595.202000		
70.500000	-595.346000		
71.000000	-595.256000		
71.500000	-594.933000		
72.000000	-594.965000		
72.500000	-595.375000		
73.000000	-595.075000		
73.500000	-595.189000		
74.000000	-595.077000		
74.500000	-594.786000		
75.000000	-595.197000		
75.500000	-595.084000		
76.000000	-595.063000		
76.500000	-594.830000		
77.000000	-594.605000		
77.500000	-594.628000		
78.000000	-595.061000		
78.500000	-595.354000		
79.000000	-595.577000		
79.500000	-595.150000		
80.000000	-595.238000		
80.500000	-595.381000		
81.000000	-595.286000		
81.500000	-595.223000		
82.000000	-595.111000		
82.500000	-595.224000		
83.000000	-595.069000		
83.500000	-594.554000		
84.000000	-594.765000		
84.500000	-594.704000		
85.000000	-594.620000		
85.500000	-594.633000		
86.000000	-594.839000		
86.500000	-594.495000		
87.000000	-594.493000		
87.500000	-594.440000		
88.000000	-594.654000		
88.500000	-594.851000		
89.000000	-594.861000		
89.500000	-594.653000		
90.000000	-594.544000		
90.500000	-594.670000		
91.000000	-594.474000		
91.500000	-594.451000		
92.000000	-594.450000		
92.500000	-594.475000		
93.000000	-594.719000		
93.500000	-594.287000		
94.000000	-594.301000		
94.500000	-594.469000		
95.000000	-594.548000		
95.500000	-594.597000		
96.000000	-594.388000		
96.500000	-594.514000		
97.000000	-594.625000		
97.500000	-594.099000		
98.000000	-594.244000		
98.500000	-593.874000		
99.000000	-594.081000		
99.500000	-594.098000		
100.000000	-593.818000		
100.500000	-593.880000		
101.000000	-594.148000		
101.500000	-594.050000		
102.000000	-594.224000		
102.500000	-593.671000		
103.000000	-593.742000		
103.500000	-594.127000		
104.000000	-594.024000		
104.500000	-593.820000		
105.000000	-594.107000		
105.500000	-594.296000		
106.000000	-594.474000		
106.500000	-594.489000		
107.000000	-594.180000		
107.500000	-593.937000		
108.000000	-593.859000		
108.500000	-593.778000		
109.000000	-593.562000		
109.500000	-593.692000		
110.000000	-593.644000		
