Date:	Thu, Jan 23, 2014		
measured by:	Rotem		
Write here experiment description to be saved in the file header.			
Time [s]	CPD stream	Light	SPV
0.000000	-629.157000		
0.500000	-629.200000		
1.000000	-629.092000		
1.500000	-629.095000		
2.000000	-628.564000		
2.500000	-628.382000		
3.000000	-628.672000		
3.500000	-628.837000		
4.000000	-628.812000		
4.500000	-628.529000		
5.000000	-628.708000		
5.500000	-628.841000		
6.000000	-628.889000		
6.500000	-629.022000		
7.000000	-628.596000		
7.500000	-628.325000		
8.000000	-628.316000		
8.500000	-628.437000		
9.000000	-628.650000		
9.500000	-628.935000		
10.000000	-629.015000		
10.500000	-628.779000		
11.000000	-628.409000		
11.500000	-628.829000		
12.000000	-628.665000		
12.500000	-628.565000		
13.000000	-628.502000		
13.500000	-628.713000		
14.000000	-628.667000		
14.500000	-628.457000		
15.000000	-628.013000		
15.500000	-627.947000		
16.000000	-628.004000		
16.500000	-628.006000		
17.000000	-628.088000		
17.500000	-628.185000		
18.000000	-628.266000		
18.500000	-628.390000		
19.000000	-627.832000		
19.500000	-627.892000		
20.000000	-627.605000		
20.500000	-627.368000		
21.000000	-627.792000		
21.500000	-627.822000		
22.000000	-627.678000		
22.500000	-627.652000		
23.000000	-627.473000		
23.500000	-627.777000		
24.000000	-627.789000		
24.500000	-627.481000		
25.000000	-627.533000		
25.500000	-627.540000		
26.000000	-627.670000		
26.500000	-627.446000		
27.000000	-627.419000		
27.500000	-627.362000		
28.000000	-627.373000		
28.500000	-627.239000		
29.000000	-626.912000		
29.500000	-627.007000		
30.000000	-627.138000		
30.500000	-626.983000		
31.000000	-627.171000		
31.500000	-627.153000		
32.000000	-627.405000		
32.500000	-626.983000		
33.000000	-626.699000		
33.500000	-626.649000		
34.000000	-626.373000		
34.500000	-626.271000		
35.000000	-626.351000		
35.500000	-626.605000		
36.000000	-627.159000		
36.500000	-627.056000		
37.000000	-626.734000		
37.500000	-626.758000		
38.000000	-626.839000		
38.500000	-626.994000		
39.000000	-626.824000		
39.500000	-626.504000		
40.000000	-626.637000		
40.500000	-626.213000		
41.000000	-625.736000		
41.500000	-625.853000		
42.000000	-625.940000		
42.500000	-626.095000		
43.000000	-626.265000		
43.500000	-626.758000		
44.000000	-629.665000		
44.500000	-633.154000		
45.000000	-637.018000		
45.500000	-639.975000		
46.000000	-642.733000		
46.500000	-644.723000		
47.000000	-646.426000		
47.500000	-648.012000		
48.000000	-649.403000		
48.500000	-649.882000		
49.000000	-650.445000		
49.500000	-651.324000		
50.000000	-651.616000		
50.500000	-651.630000		
51.000000	-652.231000		
51.500000	-652.556000		
52.000000	-652.488000		
52.500000	-652.762000		
53.000000	-653.363000		
53.500000	-653.518000		
54.000000	-653.881000		
54.500000	-654.094000		
55.000000	-654.059000		
55.500000	-654.085000		
56.000000	-654.364000		
56.500000	-655.029000		
57.000000	-655.082000		
57.500000	-655.289000		
58.000000	-655.365000		
58.500000	-655.364000		
59.000000	-655.493000		
59.500000	-655.636000		
60.000000	-655.692000		
60.500000	-655.527000		
61.000000	-655.683000		
61.500000	-655.596000		
62.000000	-655.972000		
62.500000	-656.716000		
63.000000	-656.897000		
63.500000	-656.385000		
64.000000	-656.337000		
64.500000	-656.852000		
65.000000	-656.812000		
65.500000	-656.733000		
66.000000	-656.650000		
66.500000	-656.904000		
67.000000	-656.903000		
67.500000	-657.033000		
68.000000	-657.131000		
68.500000	-657.198000		
69.000000	-657.191000		
69.500000	-657.219000		
70.000000	-657.285000		
70.500000	-657.010000		
71.000000	-656.871000		
71.500000	-657.031000		
72.000000	-656.863000		
72.500000	-656.785000		
73.000000	-656.903000		
73.500000	-657.158000		
74.000000	-657.422000		
74.500000	-657.026000		
75.000000	-657.097000		
75.500000	-657.255000		
76.000000	-657.255000		
76.500000	-657.475000		
77.000000	-657.814000		
77.500000	-658.062000		
78.000000	-658.367000		
78.500000	-658.520000		
79.000000	-658.441000		
79.500000	-658.599000		
80.000000	-659.034000		
80.500000	-658.825000		
81.000000	-659.022000		
81.500000	-658.735000		
82.000000	-658.642000		
82.500000	-658.859000		
83.000000	-658.115000		
83.500000	-658.755000		
84.000000	-658.934000		
84.500000	-659.094000		
85.000000	-659.239000		
85.500000	-659.100000		
86.000000	-659.384000		
86.500000	-659.217000		
87.000000	-659.009000		
87.500000	-659.341000		
88.000000	-659.482000		
88.500000	-659.230000		
89.000000	-659.040000		
89.500000	-659.010000		
90.000000	-658.720000		
90.500000	-658.792000		
91.000000	-659.043000		
91.500000	-658.955000		
92.000000	-659.321000		
92.500000	-659.790000		
93.000000	-659.930000		
93.500000	-659.589000		
94.000000	-659.118000		
94.500000	-659.089000		
95.000000	-658.984000		
95.500000	-659.015000		
96.000000	-658.732000		
96.500000	-658.614000		
97.000000	-658.558000		
97.500000	-658.973000		
98.000000	-658.682000		
98.500000	-658.337000		
99.000000	-658.263000		
99.500000	-658.334000		
100.000000	-658.478000		
100.500000	-658.980000		
101.000000	-658.769000		
101.500000	-658.127000		
102.000000	-658.120000		
102.500000	-658.381000		
103.000000	-658.249000		
103.500000	-658.166000		
104.000000	-657.845000		
104.500000	-657.660000		
105.000000	-657.836000		
105.500000	-657.822000		
106.000000	-657.458000		
106.500000	-656.860000		
107.000000	-656.094000		
107.500000	-654.577000		
108.000000	-653.414000		
108.500000	-652.293000		
109.000000	-651.783000		
109.500000	-650.915000		
110.000000	-650.208000		
110.500000	-649.314000		
111.000000	-648.626000		
111.500000	-648.080000		
112.000000	-647.473000		
112.500000	-646.917000		
113.000000	-646.321000		
113.500000	-645.792000		
114.000000	-645.331000		
114.500000	-644.990000		
115.000000	-644.353000		
115.500000	-643.686000		
116.000000	-643.197000		
116.500000	-642.566000		
117.000000	-642.263000		
117.500000	-641.469000		
118.000000	-641.101000		
118.500000	-641.446000		
119.000000	-641.116000		
119.500000	-640.715000		
120.000000	-640.111000		
120.500000	-639.981000		
121.000000	-639.933000		
121.500000	-639.749000		
122.000000	-639.643000		
122.500000	-639.397000		
123.000000	-638.660000		
123.500000	-638.383000		
124.000000	-637.838000		
124.500000	-637.495000		
125.000000	-637.451000		
125.500000	-637.022000		
126.000000	-636.751000		
