Date:	Tue, Jan 21, 2014		
measured by:	Rotem		
Write here experiment description to be saved in the file header.			
Time [s]	CPD stream	Light	SPV
0.000000	-665.841000		
0.501000	-665.922000		
1.001000	-666.463000		
1.501000	-666.476000		
2.001000	-666.571000		
2.501000	-666.852000		
3.001000	-667.250000		
3.501000	-667.378000		
4.001000	-667.104000		
4.501000	-667.139000		
5.000000	-667.134000		
5.501000	-667.212000		
6.000000	-667.195000		
6.501000	-666.919000		
7.001000	-667.016000		
7.501000	-667.194000		
8.001000	-666.923000		
8.500000	-666.705000		
9.001000	-666.167000		
9.500000	-665.991000		
10.001000	-665.960000		
10.501000	-666.163000		
11.001000	-666.214000		
11.501000	-666.271000		
12.001000	-665.768000		
12.501000	-665.683000		
13.001000	-665.661000		
13.501000	-665.332000		
14.001000	-664.969000		
14.501000	-665.204000		
15.001000	-665.396000		
15.501000	-665.058000		
16.001000	-665.074000		
16.501000	-665.042000		
17.001000	-664.701000		
17.501000	-664.384000		
18.001000	-664.285000		
18.501000	-664.272000		
19.001000	-664.220000		
19.501000	-664.406000		
20.001000	-664.834000		
20.501000	-664.829000		
21.001000	-664.869000		
21.501000	-664.329000		
22.001000	-664.650000		
22.501000	-664.864000		
23.001000	-664.605000		
23.501000	-664.394000		
24.001000	-664.281000		
24.501000	-664.033000		
25.001000	-664.192000		
25.501000	-664.316000		
26.001000	-663.968000		
26.501000	-664.128000		
27.001000	-663.975000		
27.501000	-663.928000		
28.001000	-663.650000		
28.501000	-663.809000		
29.001000	-664.181000		
29.501000	-664.400000		
30.001000	-663.965000		
30.501000	-664.005000		
31.001000	-664.274000		
31.501000	-663.849000		
32.001000	-663.489000		
32.501000	-663.723000		
33.001000	-664.171000		
33.501000	-664.243000		
34.001000	-663.731000		
34.501000	-663.735000		
35.001000	-663.600000		
35.501000	-663.879000		
36.001000	-663.854000		
36.501000	-663.935000		
37.001000	-664.184000		
37.501000	-664.068000		
38.001000	-664.294000		
38.501000	-663.812000		
39.001000	-663.405000		
39.501000	-663.215000		
40.001000	-663.162000		
40.501000	-663.970000		
41.001000	-665.853000		
41.500000	-668.005000		
42.001000	-669.967000		
42.500000	-671.649000		
43.001000	-673.595000		
43.501000	-675.651000		
44.001000	-677.091000		
44.501000	-678.068000		
45.001000	-679.302000		
45.501000	-680.139000		
46.001000	-680.791000		
46.501000	-681.796000		
47.001000	-682.323000		
47.501000	-682.851000		
48.000000	-683.259000		
48.501000	-683.972000		
49.000000	-684.464000		
49.501000	-684.847000		
50.001000	-684.676000		
50.501000	-685.198000		
51.001000	-685.633000		
51.501000	-685.768000		
52.001000	-685.494000		
52.501000	-685.677000		
53.001000	-685.803000		
53.501000	-685.905000		
54.001000	-685.833000		
54.501000	-685.843000		
55.001000	-686.840000		
55.501000	-687.000000		
56.001000	-687.605000		
56.501000	-687.452000		
57.001000	-687.428000		
57.501000	-687.485000		
58.001000	-687.995000		
58.501000	-687.971000		
59.001000	-687.871000		
59.501000	-687.496000		
60.001000	-687.793000		
60.501000	-687.877000		
61.001000	-688.260000		
61.501000	-688.150000		
62.001000	-687.709000		
62.501000	-687.861000		
63.001000	-687.993000		
63.501000	-688.136000		
64.001000	-688.288000		
64.501000	-687.980000		
65.001000	-688.000000		
65.501000	-688.113000		
66.001000	-688.027000		
66.501000	-688.118000		
67.001000	-688.134000		
67.501000	-688.246000		
68.001000	-688.476000		
68.501000	-688.551000		
69.001000	-688.665000		
69.501000	-688.597000		
70.001000	-688.772000		
70.501000	-688.424000		
71.001000	-688.689000		
71.501000	-689.024000		
72.001000	-688.854000		
72.501000	-689.194000		
73.001000	-689.369000		
73.501000	-689.172000		
74.001000	-689.135000		
74.501000	-688.987000		
75.001000	-689.175000		
75.501000	-689.434000		
76.001000	-689.502000		
76.501000	-689.640000		
77.001000	-689.742000		
77.501000	-689.292000		
78.001000	-689.640000		
78.501000	-689.306000		
79.001000	-689.003000		
79.501000	-688.914000		
80.001000	-689.003000		
80.501000	-688.679000		
81.001000	-688.463000		
81.501000	-688.697000		
82.001000	-688.786000		
82.501000	-688.787000		
83.001000	-688.940000		
83.501000	-688.636000		
84.001000	-688.553000		
84.501000	-688.704000		
85.001000	-688.701000		
85.501000	-688.913000		
86.001000	-688.529000		
86.501000	-688.173000		
87.001000	-688.193000		
87.501000	-688.055000		
88.001000	-687.928000		
88.501000	-687.683000		
89.001000	-687.329000		
89.501000	-687.560000		
90.001000	-687.796000		
90.501000	-687.764000		
91.001000	-687.514000		
91.501000	-687.320000		
92.001000	-687.276000		
92.501000	-687.184000		
93.001000	-686.904000		
93.501000	-686.971000		
94.001000	-686.603000		
94.501000	-685.901000		
95.001000	-685.531000		
95.501000	-685.142000		
96.001000	-684.585000		
96.501000	-683.748000		
97.001000	-683.185000		
97.501000	-682.420000		
98.001000	-681.854000		
98.501000	-681.346000		
99.001000	-680.914000		
99.501000	-680.542000		
100.001000	-680.269000		
100.501000	-679.996000		
101.001000	-679.347000		
101.501000	-678.935000		
102.001000	-679.339000		
102.501000	-678.674000		
103.001000	-678.023000		
103.501000	-678.033000		
104.001000	-677.322000		
104.501000	-676.877000		
105.001000	-676.187000		
105.501000	-675.632000		
106.001000	-674.838000		
106.501000	-674.049000		
107.001000	-674.024000		
107.501000	-673.798000		
108.001000	-673.647000		
108.501000	-673.804000		
109.001000	-673.606000		
109.501000	-673.307000		
110.001000	-673.163000		
110.501000	-673.047000		
111.001000	-672.448000		
111.501000	-672.507000		
112.001000	-672.046000		
112.501000	-671.725000		
113.001000	-671.225000		
113.501000	-671.319000		
114.001000	-671.139000		
114.501000	-670.719000		
115.001000	-670.539000		
115.501000	0.832900		
116.001000	0.833800		
116.501000	0.830100		
117.001000	0.829300		
117.501000	0.832600		
118.001000	0.837200		
118.501000	0.837700		
119.001000	0.838500		
119.501000	0.839200		
120.001000	0.839000		
120.501000	0.839100		
121.001000	0.839800		
121.501000	0.838300		
122.001000	0.834800		
122.501000	0.853000		
123.001000	0.857200		
123.501000	0.856600		
124.001000	0.856700		
124.501000	0.856100		
125.001000	0.856100		
125.501000	0.856300		
126.001000	0.856300		
126.501000	0.856000		
127.001000	0.856000		
127.501000	0.855900		
128.001000	0.856200		
128.501000	0.856300		
129.001000	0.856200		
129.501000	0.856000		
130.001000	0.856100		
130.501000	0.856500		
131.001000	0.856600		
131.501000	0.856800		
132.001000	0.857300		
132.501000	0.856900		
133.001000	0.857100		
133.501000	0.856800		
134.001000	0.856700		
134.501000	0.857300		
135.001000	0.857200		
135.501000	0.856700		
136.001000	0.856600		
136.501000	0.856400		
137.001000	0.856600		
137.501000	0.857000		
138.001000	0.856700		
138.501000	0.857100		
139.001000	0.857100		
139.501000	0.857400		
140.001000	0.857600		
140.501000	0.857800		
141.001000	0.857800		
141.501000	0.858000		
142.001000	0.857800		
142.501000	0.857200		
143.001000	0.857300		
143.501000	0.857500		
144.001000	0.858000		
144.501000	0.857800		
145.001000	0.857500		
145.501000	0.858200		
146.001000	0.858100		
146.501000	0.857700		
147.001000	0.857700		
147.501000	0.858000		
148.001000	0.857800		
148.501000	0.857900		
149.001000	0.857500		
149.501000	0.857300		
150.001000	0.857400		
150.501000	0.858500		
151.001000	0.858300		
151.501000	0.857800		
152.001000	0.857700		
152.501000	0.857600		
153.001000	0.857800		
153.501000	0.858200		
154.001000	0.858300		
154.501000	0.858500		
155.001000	0.858400		
155.501000	0.858000		
156.001000	0.857600		
156.501000	0.857600		
157.001000	0.857500		
157.501000	0.857900		
158.001000	0.857600		
158.501000	0.858000		
159.001000	0.857400		
159.501000	0.857500		
160.001000	0.858300		
160.501000	0.857800		
161.001000	0.857600		
161.501000	0.857600		
162.001000	0.858000		
162.501000	0.858200		
163.001000	0.858500		
163.501000	0.858300		
164.001000	0.857900		
164.501000	0.858000		
165.001000	0.858000		
165.501000	0.857200		
166.001000	0.857300		
166.501000	0.857000		
167.001000	0.857800		
167.501000	0.857400		
168.001000	0.856700		
168.501000	0.857000		
169.001000	0.857000		
169.501000	0.857200		
170.001000	0.857300		
170.501000	0.857300		
171.001000	0.857200		
171.501000	0.857200		
172.001000	0.857700		
172.501000	0.857100		
173.001000	0.857000		
173.501000	0.857600		
174.001000	0.857400		
174.501000	0.856800		
175.001000	0.856900		
175.501000	0.856600		
176.001000	0.857400		
176.501000	0.857200		
177.001000	0.857000		
177.501000	0.857200		
178.001000	0.857000		
178.501000	0.857300		
179.001000	0.857300		
179.501000	0.856900		
180.001000	0.856200		
180.501000	0.856400		
181.001000	0.856300		
181.501000	0.855900		
182.001000	0.856100		
182.501000	0.855800		
183.001000	0.856100		
183.501000	0.856900		
184.001000	0.857600		
184.501000	0.857300		
185.001000	0.857100		
185.501000	0.857800		
186.001000	0.858000		
186.501000	0.858600		
187.001000	0.858600		
187.501000	0.858100		
188.001000	0.858300		
188.501000	0.858500		
189.001000	0.858700		
189.501000	0.858500		
190.001000	0.858800		
190.501000	0.858600		
191.001000	0.858700		
191.501000	0.858700		
192.001000	0.858300		
192.501000	0.858100		
193.001000	0.858500		
193.501000	0.858500		
194.001000	0.857900		
194.501000	0.858100		
195.001000	0.858700		
195.501000	0.858400		
196.001000	0.858400		
196.501000	0.857800		
197.001000	0.858400		
197.501000	0.858200		
198.001000	0.858400		
198.501000	0.858300		
199.001000	0.858400		
199.501000	0.859000		
200.001000	0.859100		
200.501000	0.858700		
201.001000	0.858600		
201.501000	0.859200		
202.001000	0.859100		
202.501000	0.859100		
203.001000	0.859100		
203.501000	0.858700		
204.001000	0.858400		
204.501000	0.858100		
205.001000	0.858600		
205.501000	0.858200		
206.001000	0.858400		
206.501000	0.858100		
207.001000	0.857700		
207.501000	0.857600		
208.001000	0.857600		
208.501000	0.857900		
209.001000	0.857900		
209.501000	0.857800		
210.001000	0.857400		
210.501000	0.858000		
211.001000	0.857900		
211.501000	0.858200		
212.001000	0.857700		
212.501000	0.857900		
213.001000	0.857800		
213.501000	0.857600		
214.001000	0.857900		
214.501000	0.857800		
215.001000	0.857900		
215.501000	0.858000		
216.001000	0.857400		
216.501000	0.857200		
217.001000	0.858200		
217.501000	0.858200		
218.001000	0.857400		
218.501000	0.857000		
219.001000	0.856900		
219.501000	0.856800		
220.001000	0.856700		
220.501000	0.856700		
221.001000	0.856500		
221.501000	0.856200		
222.001000	0.856500		
222.501000	0.857100		
223.001000	0.856900		
223.501000	0.857100		
224.001000	0.856600		
224.501000	0.857000		
225.001000	0.857600		
225.501000	0.857100		
226.001000	0.856800		
226.501000	0.857600		
227.001000	0.857400		
227.501000	0.858300		
228.001000	0.858000		
228.501000	0.857700		
229.001000	0.857800		
229.501000	0.857600		
230.001000	0.857800		
230.501000	0.858300		
231.001000	0.858500		
231.501000	0.858700		
232.001000	0.858600		
232.501000	0.858700		
233.001000	0.858900		
233.501000	0.859000		
234.001000	0.859300		
234.501000	0.858000		
235.001000	0.855300		
235.501000	0.855600		
236.001000	0.856100		
236.501000	0.855900		
237.001000	0.856600		
