Date:	Sun, Mar 09, 2014		
measured by:	Rotem		
HOPG fresh from the GB, after "anneal", belongs to neg polarity experiment			
Time [s]	CPD stream	Light	SPV
0.000000	-736.380000		
0.500000	-736.556000		
1.000000	-736.630000		
1.500000	-736.753000		
2.000000	-736.573000		
2.500000	-736.504000		
3.000000	-736.302000		
3.500000	-736.367000		
4.000000	-736.509000		
4.501000	-736.719000		
5.001000	-736.916000		
5.500000	-736.656000		
6.000000	-736.749000		
6.500000	-736.926000		
7.000000	-736.941000		
7.500000	-736.728000		
8.000000	-736.741000		
8.500000	-736.305000		
9.000000	-736.162000		
9.500000	-736.004000		
10.000000	-736.300000		
10.500000	-736.372000		
11.000000	-736.324000		
11.500000	-736.267000		
12.000000	-736.555000		
12.500000	-736.401000		
13.000000	-736.054000		
13.500000	-736.269000		
14.000000	-736.039000		
14.500000	-735.808000		
15.000000	-735.988000		
15.500000	-736.032000		
16.000000	-735.617000		
16.500000	-735.573000		
17.000000	-735.784000		
17.500000	-736.101000		
18.000000	-735.862000		
18.501000	-735.932000		
19.000000	-736.116000		
19.500000	-735.649000		
20.000000	-735.556000		
20.500000	-735.630000		
21.000000	-735.490000		
21.500000	-735.060000		
22.000000	-735.257000		
22.500000	-735.407000		
23.000000	-735.747000		
23.500000	-735.584000		
24.000000	-735.479000		
24.500000	-735.273000		
25.000000	-735.193000		
25.500000	-735.239000		
26.000000	-735.277000		
26.500000	-735.328000		
27.000000	-735.144000		
27.500000	-735.060000		
28.000000	-735.030000		
28.500000	-735.114000		
29.000000	-734.842000		
29.500000	-734.684000		
30.000000	-734.751000		
30.500000	-734.785000		
31.000000	-735.128000		
31.500000	-735.052000		
32.001000	-734.962000		
32.500000	-735.035000		
33.001000	-734.797000		
33.500000	-734.598000		
34.000000	-734.558000		
34.500000	-734.603000		
35.000000	-735.155000		
35.500000	-735.053000		
36.000000	-734.764000		
36.500000	-734.968000		
37.000000	-734.756000		
37.500000	-734.685000		
38.000000	-734.826000		
38.500000	-734.713000		
39.000000	-734.603000		
39.500000	-734.324000		
40.000000	-734.474000		
40.500000	-734.370000		
41.000000	-734.100000		
41.500000	-734.146000		
42.000000	-734.260000		
42.500000	-734.358000		
43.000000	-734.334000		
43.500000	-734.553000		
44.000000	-734.424000		
44.500000	-734.350000		
45.000000	-733.792000		
45.500000	-733.834000		
46.000000	-733.987000		
46.500000	-733.843000		
47.000000	-733.961000		
47.500000	-734.065000		
48.000000	-734.429000		
48.500000	-734.479000		
49.000000	-734.185000		
49.500000	-734.073000		
50.000000	-734.080000		
50.500000	-734.268000		
51.000000	-734.184000		
51.500000	-733.997000		
52.000000	-733.648000		
52.500000	-733.429000		
53.000000	-733.461000		
53.500000	-733.636000		
54.000000	-733.790000		
54.500000	-733.521000		
55.000000	-733.760000		
55.500000	-733.718000		
56.000000	-733.804000		
56.500000	-733.775000		
57.000000	-733.414000		
57.500000	-733.483000		
58.000000	-733.533000		
58.500000	-733.225000		
59.000000	-733.079000		
59.500000	-732.943000		
60.000000	-732.871000		
60.500000	-732.627000		
61.000000	-733.245000		
61.500000	-733.626000		
62.000000	-733.641000		
62.500000	-733.565000		
63.000000	-733.480000		
63.500000	-733.388000		
64.000000	-732.901000		
64.500000	-733.076000		
65.000000	-732.794000		
65.500000	-732.838000		
66.000000	-732.684000		
66.500000	-732.240000		
67.000000	-732.161000		
67.500000	-732.073000		
68.000000	-732.587000		
68.500000	-732.641000		
69.000000	-732.582000		
69.500000	-732.311000		
70.000000	-732.281000		
70.500000	-732.109000		
71.000000	-732.199000		
71.500000	-732.262000		
72.000000	-732.036000		
72.500000	-731.856000		
73.000000	-732.186000		
73.500000	-732.307000		
74.001000	-732.213000		
74.501000	-732.275000		
75.001000	-732.550000		
75.501000	-732.555000		
76.001000	-732.342000		
76.501000	-732.529000		
77.001000	-732.060000		
77.501000	-731.576000		
78.001000	-731.427000		
78.501000	-731.581000		
79.001000	-731.752000		
79.501000	-731.904000		
80.001000	-731.716000		
80.501000	-731.891000		
81.001000	-731.837000		
81.501000	-732.045000		
82.001000	-731.992000		
82.501000	-731.868000		
83.001000	-731.762000		
83.501000	-731.875000		
84.001000	-731.816000		
84.501000	-731.323000		
85.001000	-731.179000		
85.501000	-731.253000		
86.001000	-731.339000		
86.501000	-731.114000		
87.001000	-731.199000		
87.501000	-731.391000		
88.001000	-731.238000		
88.501000	-731.567000		
89.001000	-731.547000		
89.501000	-731.603000		
90.001000	-731.183000		
90.501000	-730.952000		
91.001000	-731.058000		
91.501000	-731.140000		
92.001000	-731.458000		
92.501000	-731.593000		
93.001000	-731.028000		
93.501000	-731.043000		
94.001000	-731.114000		
94.501000	-731.108000		
95.001000	-730.919000		
95.501000	-730.965000		
96.001000	-730.869000		
96.501000	-730.562000		
97.001000	-730.839000		
97.501000	-730.815000		
98.001000	-730.746000		
98.501000	-730.686000		
99.001000	-730.713000		
99.501000	-730.538000		
100.001000	-730.793000		
100.501000	-731.128000		
101.001000	-731.295000		
101.501000	-731.338000		
102.001000	-731.177000		
102.501000	-731.222000		
103.001000	-731.000000		
103.501000	-730.777000		
104.001000	-730.816000		
104.501000	-730.911000		
105.001000	-730.427000		
105.501000	-730.323000		
106.001000	-730.430000		
106.501000	-730.566000		
107.001000	-730.418000		
107.501000	-730.292000		
108.001000	-730.188000		
108.501000	-730.384000		
109.001000	-730.385000		
109.501000	-730.488000		
110.001000	-729.798000		
110.501000	-729.536000		
111.001000	-729.685000		
111.501000	-729.768000		
112.001000	-729.999000		
112.501000	-730.176000		
113.001000	-730.539000		
113.501000	-730.248000		
114.001000	-729.879000		
114.501000	-730.098000		
115.001000	-730.165000		
115.501000	-730.469000		
116.001000	-730.160000		
116.501000	-730.000000		
117.001000	-729.948000		
117.501000	-729.821000		
118.001000	-729.749000		
118.501000	-729.885000		
119.001000	-729.813000		
119.501000	-729.855000		
120.001000	-729.737000		
120.501000	-729.658000		
121.001000	-729.709000		
121.501000	-729.774000		
122.001000	-729.621000		
122.501000	-729.291000		
123.001000	-729.184000		
123.501000	-729.533000		
124.001000	-729.167000		
124.501000	-728.995000		
125.001000	-728.798000		
125.501000	-729.163000		
126.001000	-728.952000		
126.501000	-729.265000		
127.001000	-729.831000		
127.501000	-729.457000		
128.001000	-729.424000		
128.501000	-729.373000		
129.001000	-729.354000		
129.501000	-728.944000		
130.001000	-729.003000		
130.501000	-729.062000		
131.001000	-729.246000		
131.501000	-729.079000		
132.001000	-729.051000		
132.501000	-729.167000		
133.001000	-728.983000		
133.501000	-729.041000		
134.001000	-728.981000		
134.501000	-728.830000		
135.001000	-728.858000		
135.501000	-728.852000		
136.001000	-728.834000		
136.501000	-728.527000		
137.001000	-728.609000		
137.501000	-728.628000		
138.001000	-728.573000		
138.501000	-728.012000		
139.001000	-728.664000		
139.501000	-728.723000		
140.001000	-728.927000		
140.501000	-729.079000		
141.001000	-729.085000		
141.501000	-729.051000		
142.001000	-728.490000		
142.501000	-728.461000		
143.001000	-728.383000		
143.501000	-728.454000		
144.001000	-728.742000		
144.501000	-728.650000		
145.001000	-728.525000		
145.501000	-728.644000		
146.001000	-728.282000		
146.501000	-728.086000		
147.001000	-728.082000		
147.501000	-728.395000		
148.001000	-728.190000		
148.501000	-728.256000		
149.001000	-728.554000		
149.501000	-728.288000		
150.001000	-727.890000		
150.501000	-727.961000		
151.001000	-728.318000		
151.501000	-728.062000		
152.001000	-728.225000		
152.501000	-728.168000		
153.001000	-728.164000		
153.501000	-728.181000		
154.001000	-727.856000		
154.501000	-727.834000		
155.001000	-727.924000		
155.501000	-727.687000		
156.001000	-727.731000		
156.501000	-727.279000		
157.001000	-726.951000		
157.501000	-727.281000		
158.001000	-727.588000		
158.501000	-727.603000		
159.001000	-727.773000		
159.501000	-727.985000		
160.001000	-728.094000		
160.501000	-727.772000		
161.001000	-727.566000		
161.501000	-727.788000		
162.001000	-727.775000		
162.501000	-727.239000		
163.001000	-727.349000		
163.501000	-727.404000		
164.001000	-726.935000		
164.501000	-726.877000		
165.001000	-727.234000		
165.501000	-727.076000		
166.001000	-727.001000		
166.501000	-727.465000		
167.001000	-727.407000		
167.501000	-727.597000		
168.001000	-727.598000		
168.501000	-727.634000		
169.001000	-727.240000		
169.501000	-726.949000		
170.001000	-726.962000		
170.501000	-727.150000		
171.001000	-727.209000		
171.501000	-727.224000		
172.001000	-726.915000		
172.501000	-727.030000		
173.001000	-727.210000		
173.501000	-727.365000		
174.001000	-727.465000		
174.501000	-727.047000		
175.001000	-726.963000		
175.501000	-727.085000		
176.001000	-726.936000		
176.501000	-726.948000		
177.001000	-726.441000		
177.501000	-726.208000		
178.001000	-726.053000		
178.501000	-726.157000		
179.001000	-726.320000		
179.501000	-726.168000		
180.001000	-726.415000		
180.501000	-726.657000		
181.001000	-726.287000		
181.501000	-726.297000		
182.001000	-726.453000		
182.501000	-726.599000		
183.001000	-726.403000		
183.501000	-726.499000		
184.001000	-726.465000		
184.501000	-726.256000		
185.001000	-725.877000		
185.501000	-725.910000		
186.001000	-726.064000		
186.501000	-726.065000		
187.001000	-726.318000		
187.501000	-726.581000		
188.001000	-726.674000		
188.501000	-726.405000		
189.001000	-726.147000		
189.501000	-725.946000		
190.001000	-725.915000		
190.501000	-725.844000		
191.001000	-726.154000		
191.501000	-726.116000		
192.001000	-725.897000		
192.501000	-725.973000		
193.001000	-725.402000		
193.501000	-725.823000		
194.001000	-726.375000		
194.501000	-726.193000		
195.001000	-726.201000		
195.501000	-726.198000		
196.001000	-726.433000		
196.501000	-726.040000		
197.001000	-725.715000		
197.501000	-725.187000		
198.001000	-725.423000		
198.501000	-725.551000		
199.001000	-725.580000		
199.501000	-725.475000		
200.001000	-725.674000		
200.501000	-725.777000		
201.001000	-725.719000		
201.501000	-725.783000		
202.001000	-725.723000		
202.501000	-725.576000		
203.001000	-725.651000		
203.501000	-725.326000		
204.001000	-725.134000		
204.501000	-725.123000		
205.001000	-724.880000		
205.501000	-725.093000		
206.001000	-724.996000		
206.501000	-725.005000		
207.001000	-724.959000		
207.501000	-725.077000		
208.001000	-724.997000		
208.501000	-725.146000		
209.001000	-725.281000		
209.501000	-724.916000		
210.001000	-724.896000		
210.501000	-724.789000		
211.001000	-724.748000		
211.501000	-724.633000		
212.001000	-724.490000		
212.501000	-724.292000		
213.001000	-724.686000		
213.501000	-724.729000		
214.001000	-724.919000		
214.501000	-724.991000		
215.001000	-725.156000		
215.501000	-725.201000		
216.001000	-725.203000		
216.501000	-724.945000		
217.001000	-724.854000		
217.501000	-724.827000		
218.001000	-724.419000		
218.501000	-724.213000		
219.001000	-724.028000		
219.501000	-724.100000		
220.001000	-724.367000		
220.501000	-724.308000		
221.001000	-724.300000		
221.501000	-724.489000		
222.001000	-724.728000		
222.501000	-724.673000		
223.001000	-724.756000		
223.501000	-724.904000		
224.001000	-724.775000		
224.501000	-724.675000		
225.001000	-724.305000		
225.501000	-724.327000		
226.001000	-724.438000		
226.501000	-724.324000		
227.001000	-724.126000		
227.501000	-724.072000		
228.001000	-724.567000		
228.501000	-724.599000		
229.001000	-724.606000		
229.501000	-724.570000		
230.001000	-724.235000		
230.501000	-723.788000		
231.001000	-724.012000		
231.501000	-723.983000		
232.001000	-724.059000		
232.501000	-724.212000		
233.001000	-724.375000		
233.501000	-724.191000		
234.001000	-724.343000		
234.501000	-724.087000		
235.001000	-724.209000		
235.501000	-724.343000		
236.001000	-724.008000		
236.501000	-723.572000		
237.001000	-723.574000		
237.501000	-723.367000		
238.001000	-723.463000		
238.501000	-723.851000		
239.001000	-723.662000		
239.501000	-723.646000		
240.001000	-723.505000		
240.501000	-723.397000		
241.001000	-723.623000		
241.501000	-723.465000		
242.001000	-723.878000		
242.501000	-724.053000		
243.001000	-723.930000		
243.501000	-723.983000		
244.001000	-723.778000		
244.501000	-723.663000		
245.001000	-723.460000		
245.501000	-723.497000		
246.001000	-723.317000		
246.501000	-723.170000		
247.001000	-723.081000		
247.501000	-723.235000		
248.001000	-723.332000		
248.501000	-723.283000		
249.001000	-723.564000		
249.501000	-723.638000		
250.001000	-723.445000		
250.501000	-723.317000		
251.001000	-723.297000		
251.501000	-723.163000		
252.001000	-723.125000		
252.501000	-722.938000		
253.001000	-722.740000		
253.501000	-723.103000		
254.001000	-723.102000		
