Date:	Mon, Mar 17, 2014		
measured by:	Rotem		
			
Time [s]	CPD stream	Light	SPV
0.000000	-770.295000		
0.500000	-770.715000		
1.001000	-770.932000		
1.500000	-770.872000		
2.000000	-771.186000		
2.500000	-771.275000		
3.000000	-771.664000		
3.500000	-772.196000		
4.000000	-772.001000		
4.500000	-772.608000		
5.000000	-772.789000		
5.501000	-772.917000		
6.000000	-772.722000		
6.501000	-772.646000		
7.000000	-772.686000		
7.500000	-772.632000		
8.000000	-772.518000		
8.500000	-772.574000		
9.000000	-772.744000		
9.500000	-772.982000		
10.000000	-772.880000		
10.500000	-773.112000		
11.000000	-773.340000		
11.500000	-773.116000		
12.000000	-772.858000		
12.500000	-772.803000		
13.000000	-772.928000		
13.500000	-773.045000		
14.000000	-772.897000		
14.500000	-772.945000		
15.000000	-772.723000		
15.500000	-772.857000		
16.000000	-772.993000		
16.500000	-773.106000		
17.000000	-773.387000		
17.500000	-773.455000		
18.000000	-773.541000		
18.500000	-773.187000		
19.000000	-773.040000		
19.500000	-773.536000		
20.000000	-774.212000		
20.500000	-773.620000		
21.000000	-773.681000		
21.500000	-773.483000		
22.000000	-773.672000		
22.500000	-773.789000		
23.000000	-773.483000		
23.500000	-773.281000		
24.000000	-773.665000		
24.500000	-773.855000		
25.000000	-773.467000		
25.500000	-773.512000		
26.000000	-773.734000		
26.500000	-773.433000		
27.000000	-773.548000		
27.500000	-773.549000		
28.000000	-773.761000		
28.500000	-773.965000		
29.000000	-773.849000		
29.500000	-773.544000		
30.000000	-773.719000		
30.500000	-773.914000		
31.000000	-773.739000		
31.500000	-773.322000		
32.000000	-773.218000		
32.500000	-773.271000		
33.000000	-773.452000		
33.500000	-773.659000		
34.000000	-773.700000		
34.500000	-774.071000		
35.000000	-773.973000		
35.500000	-773.328000		
36.000000	-773.126000		
36.500000	-773.266000		
37.000000	-773.415000		
37.500000	-773.605000		
38.000000	-773.894000		
38.500000	-773.352000		
39.000000	-773.182000		
39.500000	-773.295000		
40.000000	-773.575000		
40.500000	-773.801000		
41.000000	-774.147000		
41.500000	-773.853000		
42.000000	-773.983000		
42.500000	-773.925000		
43.000000	-773.855000		
43.500000	-773.682000		
44.000000	-773.742000		
44.500000	-773.983000		
45.000000	-773.965000		
45.500000	-774.005000		
46.000000	-773.856000		
46.500000	-773.569000		
47.000000	-773.859000		
47.500000	-773.799000		
48.000000	-773.643000		
48.500000	-773.656000		
49.000000	-773.699000		
49.500000	-773.841000		
50.000000	-773.895000		
50.500000	-773.626000		
51.000000	-773.837000		
51.500000	-773.573000		
52.000000	-773.551000		
52.500000	-774.188000		
53.000000	-774.568000		
53.500000	-774.291000		
54.000000	-774.272000		
54.500000	-774.119000		
55.000000	-774.473000		
55.500000	-774.624000		
56.000000	-774.289000		
56.500000	-774.248000		
57.000000	-774.255000		
57.500000	-774.047000		
58.000000	-774.342000		
58.500000	-774.366000		
59.000000	-774.253000		
59.500000	-774.469000		
60.000000	-774.167000		
60.500000	-774.475000		
61.000000	-774.216000		
61.500000	-774.153000		
62.000000	-774.610000		
62.500000	-774.292000		
63.000000	-774.159000		
63.500000	-774.055000		
64.000000	-773.959000		
64.500000	-774.004000		
65.000000	-773.983000		
65.500000	-774.002000		
66.000000	-773.854000		
66.500000	-774.100000		
67.000000	-774.216000		
67.500000	-774.235000		
68.000000	-774.183000		
68.500000	-773.773000		
69.000000	-774.155000		
69.500000	-773.985000		
70.000000	-774.000000		
70.500000	-774.133000		
71.000000	-774.133000		
71.500000	-774.585000		
72.000000	-774.799000		
72.500000	-774.909000		
73.000000	-774.599000		
73.500000	-774.548000		
74.000000	-774.523000		
74.500000	-774.299000		
75.000000	-774.251000		
75.500000	-774.369000		
76.000000	-774.225000		
76.500000	-774.259000		
77.000000	-774.529000		
77.501000	-774.487000		
78.000000	-774.370000		
78.500000	-774.079000		
79.000000	-773.699000		
79.500000	-774.267000		
80.000000	-774.117000		
80.500000	-774.131000		
81.000000	-774.440000		
81.500000	-774.662000		
82.000000	-774.503000		
82.500000	-774.296000		
83.000000	-774.452000		
83.500000	-774.214000		
84.000000	-774.224000		
84.500000	-774.476000		
85.000000	-774.567000		
85.500000	-774.307000		
86.000000	-774.335000		
86.500000	-774.314000		
87.000000	-774.704000		
87.500000	-774.652000		
88.000000	-775.027000		
88.500000	-774.706000		
89.000000	-774.509000		
89.500000	-774.547000		
90.000000	-774.821000		
90.500000	-775.049000		
91.000000	-775.273000		
91.500000	-775.250000		
92.000000	-775.116000		
92.500000	-774.884000		
93.000000	-774.916000		
93.500000	-774.853000		
94.000000	-774.822000		
94.500000	-774.709000		
95.000000	-774.726000		
95.500000	-774.652000		
96.000000	-818.939000		
96.500000	-1019.376000		
97.000000	-1122.315000		
97.500000	-1201.985000		
98.000000	-1235.254000		
98.500000	-1263.797000		
99.000000	-1281.147000		
99.500000	-1291.501000		
100.000000	-1298.222000		
100.500000	-1302.510000		
101.000000	-1304.840000		
101.500000	-1306.286000		
102.000000	-1307.252000		
102.500000	-1307.880000		
103.000000	-1307.971000		
103.500000	-1308.284000		
104.000000	-1308.140000		
104.500000	-1308.576000		
105.000000	-1308.941000		
105.500000	-1308.794000		
106.000000	-1309.027000		
106.500000	-1309.062000		
107.000000	-1308.740000		
107.500000	-1308.375000		
108.000000	-1308.381000		
108.500000	-1308.311000		
109.000000	-1308.668000		
109.500000	-1308.747000		
110.000000	-1308.532000		
110.500000	-1308.182000		
111.000000	-1308.455000		
111.500000	-1308.605000		
112.000000	-1308.092000		
112.500000	-1307.959000		
113.000000	-1307.800000		
113.500000	-1307.366000		
114.000000	-1307.349000		
114.500000	-1306.671000		
115.000000	-1306.260000		
115.500000	-1306.324000		
116.000000	-1305.885000		
116.500000	-1305.474000		
117.000000	-1305.593000		
117.500000	-1305.617000		
118.000000	-1305.062000		
118.500000	-1304.735000		
119.000000	-1304.944000		
119.500000	-1304.798000		
120.000000	-1304.944000		
120.500000	-1304.374000		
121.000000	-1304.127000		
121.500000	-1304.172000		
122.000000	-1303.848000		
122.500000	-1303.238000		
123.000000	-1303.126000		
123.500000	-1303.352000		
124.000000	-1303.441000		
124.500000	-1303.478000		
125.000000	-1301.190000		
125.500000	-1194.927000		
126.000000	-1036.600000		
126.500000	-970.739000		
127.000000	-992.935000		
127.500000	-1004.372000		
128.000000	-1008.685000		
128.500000	-1007.157000		
129.000000	-922.315000		
129.500000	-859.748000		
130.000000	-820.799000		
130.500000	-800.935000		
131.000000	-786.360000		
131.500000	-775.394000		
132.000000	-770.510000		
132.500000	-767.535000		
133.000000	-765.930000		
133.500000	-764.556000		
134.000000	-763.661000		
134.500000	-763.286000		
135.000000	-763.205000		
135.500000	-763.063000		
136.000000	-762.742000		
136.500000	-762.837000		
137.000000	-762.743000		
137.500000	-763.109000		
138.000000	-763.081000		
138.500000	-763.289000		
139.000000	-763.395000		
139.500000	-763.304000		
140.000000	-763.685000		
140.500000	-763.322000		
141.000000	-763.181000		
141.500000	-762.975000		
142.000000	-763.120000		
142.500000	-763.404000		
143.000000	-763.480000		
143.500000	-763.132000		
144.000000	-762.888000		
144.500000	-763.400000		
145.000000	-763.542000		
145.500000	-763.409000		
146.000000	-762.971000		
146.500000	-763.171000		
147.000000	-763.210000		
147.500000	-762.875000		
148.000000	-762.217000		
148.500000	-762.335000		
149.000000	-762.768000		
149.500000	-762.909000		
150.000000	-763.096000		
150.500000	-762.835000		
151.000000	-762.658000		
151.500000	-762.818000		
152.000000	-763.100000		
152.500000	-763.032000		
153.000000	-763.012000		
153.500000	-763.278000		
154.000000	-763.111000		
154.500000	-763.730000		
155.000000	-764.017000		
155.500000	-764.020000		
156.000000	-764.057000		
156.500000	-764.000000		
157.000000	-764.031000		
157.500000	-763.786000		
158.000000	-764.278000		
158.500000	-763.777000		
159.000000	-763.941000		
159.500000	-764.028000		
160.000000	-764.082000		
160.500000	-763.716000		
161.000000	-763.987000		
161.500000	-764.099000		
162.000000	-764.301000		
162.500000	-764.181000		
163.000000	-763.858000		
163.500000	-764.073000		
164.000000	-764.142000		
164.500000	-763.901000		
165.000000	-763.613000		
165.500000	-763.710000		
166.000000	-763.570000		
166.500000	-763.807000		
167.000000	-763.831000		
167.500000	-764.094000		
168.000000	-764.403000		
168.500000	-764.363000		
169.000000	-764.409000		
169.500000	-764.652000		
170.000000	-764.312000		
170.500000	-764.025000		
171.000000	-764.355000		
171.500000	-764.497000		
172.000000	-764.401000		
172.500000	-764.597000		
173.000000	-764.211000		
173.500000	-764.441000		
174.000000	-764.625000		
174.500000	-764.340000		
175.000000	-764.502000		
175.500000	-764.575000		
176.000000	-764.424000		
176.500000	-764.697000		
177.000000	-764.768000		
177.500000	-765.032000		
178.000000	-764.888000		
178.500000	-765.152000		
179.000000	-764.889000		
179.500000	-764.921000		
180.000000	-764.841000		
180.500000	-764.637000		
181.000000	-764.820000		
181.500000	-764.931000		
182.000000	-764.963000		
182.500000	-764.689000		
183.000000	-764.800000		
183.500000	-764.753000		
184.000000	-765.126000		
184.500000	-765.253000		
185.000000	-765.181000		
185.500000	-765.324000		
186.000000	-765.060000		
186.500000	-764.700000		
187.000000	-764.819000		
187.500000	-764.892000		
188.000000	-764.851000		
188.500000	-765.082000		
189.000000	-765.483000		
189.500000	-765.087000		
190.000000	-764.700000		
190.500000	-764.543000		
191.000000	-764.612000		
191.500000	-765.012000		
192.000000	-762.305000		
192.500000	-758.015000		
193.000000	-755.709000		
193.500000	-758.725000		
194.000000	-760.048000		
194.500000	-760.722000		
195.000000	-758.312000		
195.500000	-758.279000		
196.000000	-761.134000		
196.500000	-762.336000		
197.000000	-764.416000		
197.500000	-765.582000		
198.000000	-765.952000		
198.500000	-766.233000		
199.000000	-766.432000		
199.500000	-765.623000		
200.000000	-765.098000		
200.500000	-766.335000		
201.000000	-767.198000		
201.500000	-767.573000		
202.000000	-766.639000		
202.500000	-765.709000		
203.000000	-762.113000		
203.500000	-756.546000		
204.000000	-754.710000		
204.500000	-756.491000		
205.000000	-759.514000		
205.500000	-762.945000		
206.000000	-765.440000		
206.500000	-767.151000		
207.000000	-767.636000		
207.500000	-928.225000		
208.000000	-1066.343000		
208.500000	-1145.353000		
209.000000	-1195.236000		
209.500000	-1233.052000		
210.000000	-1246.621000		
210.500000	-1261.022000		
211.000000	-1258.083000		
211.500000	-1253.018000		
212.000000	-1255.800000		
212.500000	-1260.165000		
213.000000	-1269.372000		
213.500000	-1268.223000		
214.000000	-1262.946000		
214.500000	-1264.997000		
215.000000	-1269.510000		
215.500000	-1264.535000		
216.000000	-1260.351000		
216.500000	-1191.592000		
217.000000	-1191.142000		
217.500000	-1221.914000		
218.000000	-1233.312000		
218.500000	-1253.216000		
219.000000	-1258.206000		
219.500000	-1265.114000		
220.000000	-1264.278000		
220.500000	-1263.340000		
221.000000	-1262.726000		
221.500000	-1265.053000		
222.000000	-1266.014000		
222.500000	-1265.596000		
223.000000	-1265.921000		
223.500000	-1271.137000		
224.000000	-1276.410000		
224.500000	-1280.335000		
225.000000	-1282.964000		
225.500000	-1285.240000		
226.000000	-1286.953000		
226.500000	-1288.997000		
227.000000	-1289.992000		
227.500000	-1291.125000		
228.000000	-1291.204000		
228.500000	-1291.682000		
229.000000	-1292.038000		
229.500000	-1291.486000		
230.000000	-1291.184000		
230.500000	-1289.650000		
231.000000	-1289.723000		
231.500000	-1290.094000		
232.000000	-1290.324000		
232.500000	-1290.876000		
233.000000	-1291.255000		
233.500000	-1292.517000		
234.000000	-1293.559000		
234.500000	-1293.921000		
235.000000	-1294.355000		
235.500000	-1295.096000		
236.000000	-1295.321000		
236.500000	-1295.088000		
237.000000	-1294.584000		
237.500000	-1294.440000		
238.000000	-1294.195000		
238.500000	-1293.735000		
239.000000	-1293.897000		
239.500000	-1293.872000		
240.000000	-1294.058000		
240.500000	-1294.012000		
241.000000	-1293.860000		
241.500000	-1293.736000		
242.000000	-1293.542000		
242.500000	-1293.934000		
243.000000	-1293.627000		
243.500000	-1293.435000		
244.000000	-1293.411000		
244.500000	-1293.467000		
245.000000	-1293.656000		
245.500000	-1293.612000		
246.000000	-1293.475000		
246.500000	-1293.037000		
247.000000	-1292.421000		
247.500000	-1291.431000		
248.000000	-1290.608000		
248.500000	-1289.794000		
249.000000	-1289.233000		
249.500000	-1288.376000		
250.000000	-1287.294000		
250.500000	-1285.881000		
251.000000	-1283.879000		
251.500000	-1285.665000		
252.000000	-1287.075000		
252.500000	-1287.968000		
253.000000	-1288.557000		
253.500000	-1288.739000		
254.000000	-1288.688000		
254.500000	-1288.648000		
255.000000	-1288.519000		
255.500000	-1288.210000		
256.000000	-1287.774000		
256.500000	-1287.309000		
257.000000	-1284.805000		
257.500000	-1283.765000		
258.000000	-1284.715000		
258.500000	-1283.888000		
259.000000	-1277.883000		
259.500000	-1274.253000		
260.000000	-1271.105000		
260.500000	-1267.787000		
261.000000	-1263.072000		
261.500000	-1257.978000		
262.000000	-1256.785000		
262.500000	-1258.445000		
263.000000	-1259.357000		
263.500000	-1258.633000		
264.000000	-1259.813000		
264.500000	-1265.651000		
265.000000	-1269.159000		
265.500000	-1270.904000		
266.000000	-1270.569000		
266.500000	-1268.932000		
267.000000	-1268.242000		
267.500000	-1269.380000		
268.000000	-1270.957000		
268.500000	-1271.888000		
269.000000	-1263.925000		
269.500000	-1260.579000		
270.000000	-1259.832000		
270.500000	-1262.438000		
271.000000	-1259.728000		
271.500000	-1249.162000		
272.000000	-1244.032000		
272.500000	-1243.122000		
273.000000	-1243.124000		
273.500000	-1244.547000		
274.000000	-1246.802000		
274.500000	-1248.410000		
275.000000	-1252.623000		
275.500000	-1254.829000		
276.000000	-1255.248000		
276.500000	-1256.015000		
277.000000	-1258.572000		
277.500000	-1260.837000		
278.000000	-1263.067000		
278.500000	-1265.974000		
279.000000	-1268.436000		
279.500000	-1271.316000		
280.000000	-1275.617000		
280.500000	-1277.861000		
281.000000	-1278.577000		
281.500000	-1274.187000		
282.000000	-1263.328000		
282.500000	-1266.562000		
283.000000	-1268.354000		
283.500000	-1268.759000		
284.000000	-1270.631000		
284.500000	-1273.347000		
285.000000	-1275.636000		
285.500000	-1236.921000		
286.000000	-1246.072000		
286.500000	-1257.793000		
287.000000	-1266.372000		
287.500000	-1269.763000		
288.000000	-1271.369000		
288.500000	-1270.384000		
289.000000	-1260.779000		
289.500000	-1242.018000		
290.000000	-1226.473000		
290.500000	-1209.818000		
291.000000	-1101.268000		
291.500000	-1105.811000		
292.000000	-1154.681000		
292.500000	-1195.221000		
293.000000	-1218.738000		
293.500000	-1234.513000		
294.000000	-1242.592000		
294.500000	-1248.071000		
295.000000	-1251.118000		
295.500000	-1254.821000		
296.000000	-1259.311000		
296.500000	-1262.136000		
297.000000	-1247.513000		
297.500000	-1236.782000		
298.000000	-1233.075000		
298.500000	-1228.375000		
299.000000	-1230.207000		
299.500000	-1229.364000		
300.000000	-1221.151000		
300.500000	-1224.596000		
301.000000	-1206.953000		
301.500000	-1189.906000		
302.000000	-1183.317000		
302.500000	-1178.770000		
303.000000	-1174.593000		
303.500000	-1182.738000		
304.000000	-1191.012000		
304.500000	-1199.376000		
305.000000	-1207.754000		
305.500000	-1213.090000		
306.000000	-1215.524000		
306.500000	-1150.622000		
307.000000	-1126.650000		
307.500000	-1159.374000		
308.000000	-1188.954000		
308.500000	-1207.750000		
309.000000	-1222.184000		
309.500000	-1229.469000		
310.000000	-1234.640000		
310.500000	-1240.242000		
311.000000	-1240.467000		
311.500000	-1238.831000		
312.000000	-1236.979000		
312.500000	-1235.579000		
313.000000	-1234.481000		
313.500000	-1232.149000		
314.000000	-1229.609000		
314.500000	-1227.733000		
315.000000	-1225.969000		
315.500000	-1225.257000		
316.000000	-1225.213000		
316.500000	-1224.930000		
317.000000	-1225.131000		
317.500000	-1225.667000		
318.000000	-1225.945000		
318.500000	-1226.504000		
319.000000	-1227.088000		
319.500000	-1227.813000		
320.000000	-1231.174000		
320.500000	-1235.509000		
321.000000	-1205.481000		
321.500000	-1162.957000		
322.000000	-1124.800000		
322.500000	-1165.064000		
323.000000	-1162.705000		
323.500000	-1137.620000		
324.000000	-1170.945000		
324.500000	-1195.770000		
325.000000	-1213.391000		
325.500000	-1223.982000		
326.000000	-1231.315000		
326.500000	-1234.427000		
327.000000	-1236.481000		
327.500000	-1239.184000		
328.000000	-1247.788000		
328.500000	-1253.472000		
329.000000	-1248.317000		
329.500000	-1243.759000		
330.000000	-1239.630000		
330.500000	-1236.223000		
331.000000	-1233.257000		
331.500000	-1231.089000		
332.000000	-1230.061000		
332.500000	-1229.846000		
333.000000	-1229.729000		
333.500000	-1225.996000		
334.000000	-1033.014000		
334.500000	-931.880000		
335.000000	-852.280000		
335.500000	-808.899000		
336.000000	-773.328000		
336.500000	-753.888000		
337.000000	-741.552000		
337.500000	-733.350000		
338.000000	-729.485000		
338.500000	-725.735000		
339.000000	-723.666000		
339.500000	-721.556000		
340.000000	-718.906000		
340.500000	-720.532000		
341.000000	-725.276000		
341.500000	-729.266000		
342.000000	-733.373000		
342.500000	-736.554000		
343.000000	-737.587000		
343.500000	-738.117000		
344.000000	-737.001000		
344.500000	-735.186000		
345.000000	-729.907000		
345.500000	-727.890000		
346.000000	-869.814000		
346.500000	-1009.168000		
347.000000	-1087.799000		
347.500000	-1140.732000		
348.000000	-1183.155000		
348.500000	-1204.753000		
349.000000	-1216.123000		
349.500000	-1226.879000		
350.000000	-1232.241000		
350.500000	-1235.811000		
351.000000	-1237.699000		
351.500000	-1238.760000		
352.000000	-1239.789000		
352.500000	-1240.486000		
353.000000	-1241.168000		
353.500000	-1241.379000		
354.000000	-1241.816000		
354.500000	-1242.282000		
355.000000	-1242.676000		
355.500000	-1242.108000		
356.000000	-1241.495000		
356.500000	-1241.094000		
357.000000	-1240.989000		
357.500000	-1240.505000		
358.000000	-1241.178000		
358.500000	-1241.894000		
359.000000	-1242.769000		
359.500000	-1243.477000		
360.000000	-1243.796000		
360.500000	-1243.132000		
361.000000	-1243.273000		
361.500000	-1242.762000		
362.000000	-1241.972000		
362.500000	-1242.119000		
363.000000	-1242.254000		
363.500000	-1242.960000		
364.000000	-1243.335000		
364.500000	-1243.798000		
365.000000	-1245.218000		
365.500000	-1246.501000		
366.000000	-1247.416000		
366.500000	-1247.681000		
367.000000	-1248.115000		
367.500000	-1247.988000		
368.000000	-1247.864000		
368.500000	-1247.871000		
369.000000	-1248.187000		
369.500000	-1248.496000		
370.000000	-1247.963000		
370.500000	-1162.763000		
371.000000	-1034.205000		
371.500000	-900.039000		
372.000000	-838.980000		
372.500000	-796.124000		
373.000000	-763.529000		
373.500000	-732.811000		
374.000000	-723.494000		
374.500000	-718.884000		
375.000000	-715.771000		
375.500000	-714.035000		
376.000000	-712.941000		
376.500000	-712.336000		
377.000000	-712.251000		
377.500000	-712.461000		
