Date:	Sun, Nov 03, 2013		
measured by:	Rotem		
Second sample, 20 min pirahna, 1h50min min air (still very hydrophillic surface),2*1min HF (perfectly hydrophobic), 3 min 30 till start (??? estimate), sample dropped to paper three times 			
Time [s]	CPD stream	Light	SPV
0.000000	-613.934000		
0.500000	-613.776000		
1.000000	-614.114000		
1.500000	-614.080000		
2.000000	-614.017000		
2.500000	-614.018000		
3.000000	-614.249000		
3.500000	-614.158000		
4.000000	-613.939000		
4.500000	-613.922000		
5.000000	-614.268000		
5.500000	-614.308000		
6.000000	-614.244000		
6.500000	-614.248000		
7.000000	-614.477000		
7.500000	-614.501000		
8.000000	-614.271000		
8.500000	-614.309000		
9.000000	-614.431000		
9.500000	-614.537000		
10.000000	-613.994000		
10.500000	-613.998000		
11.000000	-613.992000		
11.500000	-613.762000		
12.000000	-613.925000		
12.500000	-614.327000		
13.000000	-613.926000		
13.500000	-614.076000		
14.000000	-613.975000		
14.500000	-613.913000		
14.999000	-613.811000		
15.500000	-613.933000		
16.000000	-613.692000		
16.500000	-614.269000		
16.999000	-614.317000		
17.499000	-614.060000		
17.999000	-614.055000		
18.500000	-614.139000		
18.999000	-614.115000		
19.500000	-614.083000		
20.000000	-614.551000		
20.500000	-614.022000		
21.000000	-614.185000		
21.500000	-614.256000		
22.000000	-614.497000		
22.500000	-614.287000		
23.000000	-614.036000		
23.500000	-614.236000		
24.000000	-614.316000		
24.500000	-613.865000		
25.000000	-613.757000		
25.500000	-614.033000		
26.000000	-614.019000		
26.500000	-613.921000		
27.000000	-613.968000		
27.499000	-613.956000		
28.000000	-614.289000		
28.500000	-614.003000		
29.000000	-614.287000		
29.500000	-614.090000		
30.000000	-614.088000		
30.500000	-614.103000		
31.000000	-614.321000		
31.500000	-613.892000		
32.000000	-614.037000		
32.500000	-613.759000		
33.000000	-613.738000		
33.500000	-613.764000		
34.000000	-614.013000		
34.500000	-614.023000		
35.000000	-613.940000		
35.500000	-614.220000		
36.000000	-613.947000		
36.500000	-613.890000		
37.000000	-613.995000		
37.500000	-613.984000		
38.000000	-613.939000		
38.500000	-613.952000		
39.000000	-614.470000		
39.500000	-614.203000		
40.000000	-614.120000		
40.500000	-614.332000		
41.000000	-614.097000		
41.500000	-613.964000		
42.000000	-613.942000		
42.500000	-614.037000		
43.000000	-613.812000		
43.500000	-613.835000		
44.000000	-614.018000		
44.500000	-613.887000		
45.000000	-613.742000		
45.500000	-613.744000		
46.000000	-614.052000		
46.500000	-613.608000		
47.000000	-613.774000		
47.500000	-613.931000		
48.000000	-613.988000		
48.500000	-613.971000		
49.000000	-614.226000		
49.500000	-614.015000		
50.000000	-614.044000		
50.500000	-614.298000		
51.000000	-614.321000		
51.500000	-613.695000		
52.000000	-613.325000		
52.500000	-613.822000		
53.000000	-613.310000		
53.500000	-613.607000		
54.000000	-613.673000		
54.500000	-613.826000		
55.000000	-613.800000		
55.500000	-614.344000		
56.000000	-614.288000		
56.500000	-613.877000		
57.000000	-613.842000		
57.500000	-613.880000		
58.000000	-613.825000		
58.500000	-613.813000		
59.000000	-614.133000		
59.500000	-614.062000		
60.000000	-614.320000		
60.500000	-614.157000		
61.000000	-614.138000		
61.500000	-614.076000		
62.000000	-613.861000		
62.500000	-613.853000		
63.000000	-614.094000		
63.500000	-614.184000		
64.000000	-614.104000		
64.500000	-614.069000		
65.000000	-613.995000		
65.500000	-614.264000		
66.000000	-614.164000		
66.500000	-614.197000		
67.000000	-614.085000		
67.500000	-614.360000		
68.000000	-614.248000		
68.500000	-614.221000		
69.000000	-614.040000		
69.500000	-614.419000		
70.000000	-614.487000		
70.500000	-614.580000		
71.000000	-614.502000		
71.500000	-614.335000		
72.000000	-614.311000		
72.500000	-614.257000		
73.000000	-614.399000		
73.500000	-614.292000		
74.000000	-614.793000		
74.500000	-614.441000		
75.000000	-614.315000		
75.500000	-614.575000		
76.000000	-614.203000		
76.500000	-614.370000		
77.000000	-614.674000		
77.500000	-614.402000		
78.000000	-614.365000		
78.500000	-614.680000		
79.000000	-614.535000		
79.500000	-614.292000		
80.000000	-614.554000		
80.500000	-614.112000		
81.000000	-614.415000		
81.500000	-614.553000		
82.000000	-614.157000		
82.500000	-614.140000		
83.000000	-614.413000		
83.500000	-614.129000		
84.000000	-614.362000		
84.500000	-614.484000		
85.000000	-614.124000		
85.500000	-614.050000		
86.000000	-614.078000		
86.500000	-614.135000		
87.000000	-614.310000		
87.500000	-614.204000		
88.000000	-614.463000		
