Date:	Wed, Nov 13, 2013			
HOPG cleaved within				
Time	CPD	Change	Slope	Comments
27.5	-1.0478	0.0321	0.0173	
29.5	-1.0460	0.0300	0.0173	
43.5	-1.0558	0.0070	0.0173	
44.0	-1.0557	0.0064	0.0173	
44.0	-1.0557	0.0064	0.0173	
44.5	-1.0558	0.0058	0.0173	
45.0	-1.0557	0.0053	0.0173	
45.5	-1.0546	0.0049	0.0173	
45.5	-1.0546	0.0049	0.0173	
46.0	-1.0548	0.0044	0.0173	
46.5	-1.0551	0.0040	0.0173	
46.5	-1.0551	0.0040	0.0173	
47.0	-1.0564	0.0035	0.0173	
47.5	-1.0571	0.0030	0.0173	
48.1	-1.0573	0.0025	0.0173	
48.1	-1.0573	0.0025	0.0173	
48.5	-1.0564	0.0021	0.0173	
49.0	-1.0563	0.0017	0.0173	
49.0	-1.0563	0.0017	0.0173	
49.5	-1.0561	0.0014	0.0173	
49.5	-1.0561	0.0014	0.0173	
50.0	-1.0563	0.0010	0.0173	
50.5	-1.0562	0.0007	0.0173	
50.5	-1.0562	0.0007	0.0173	
51.0	-1.0555	0.0004	0.0173	
51.0	-1.0555	0.0004	0.0173	
51.5	-1.0551	0.0002	0.0173	
51.5	-1.0551	0.0002	0.0173	
52.1	-1.0547	0.0001	0.0173	
52.5	-1.0545	-0.0001	0.0173	
52.5	-1.0545	-0.0001	0.0173	
52.5	-1.0545	-0.0001	0.0173	
53.0	-1.0544	-0.0002	0.0173	
53.0	-1.0544	-0.0002	0.0173	
53.0	-1.0544	-0.0002	0.0173	
53.5	-1.0545	-0.0004	0.0173	
53.5	-1.0545	-0.0004	0.0173	
54.0	-1.0540	-0.0004	0.0173	
54.0	-1.0540	-0.0004	0.0173	
54.0	-1.0540	-0.0004	0.0173	
54.5	-1.0550	-0.0006	0.0173	
54.5	-1.0550	-0.0006	0.0173	
55.0	-1.0559	-0.0008	0.0173	
55.0	-1.0559	-0.0008	0.0173	
55.0	-1.0559	-0.0008	0.0173	
55.5	-1.0571	-0.0010	0.0173	
55.5	-1.0571	-0.0010	0.0173	
56.0	-1.0566	-0.0012	0.0173	
56.0	-1.0566	-0.0012	0.0173	
56.0	-1.0566	-0.0012	0.0173	
56.5	-1.0573	-0.0015	0.0173	
56.5	-1.0573	-0.0015	0.0173	
57.0	-1.0576	-0.0017	0.0173	
57.0	-1.0576	-0.0017	0.0173	
57.0	-1.0576	-0.0017	0.0173	
57.5	-1.0575	-0.0020	0.0173	
57.5	-1.0575	-0.0020	0.0173	
58.0	-1.0569	-0.0021	0.0173	
60.0	-1.0567	-0.0027	0.0173	
60.0	-1.0567	-0.0027	0.0173	
60.0	-1.0567	-0.0027	0.0173	
60.5	-1.0562	-0.0030	0.0173	
60.5	-1.0562	-0.0030	0.0173	
60.5	-1.0562	-0.0030	0.0173	
61.0	-1.0560	-0.0033	0.0173	
61.0	-1.0560	-0.0033	0.0173	
61.5	-1.0562	-0.0037	0.0173	
61.5	-1.0562	-0.0037	0.0173	
61.5	-1.0562	-0.0037	0.0173	
62.0	-1.0558	-0.0040	0.0173	
62.0	-1.0558	-0.0040	0.0173	
62.5	-1.0560	-0.0045	0.0173	
62.5	-1.0560	-0.0045	0.0173	
62.5	-1.0560	-0.0045	0.0173	
63.0	-1.0557	-0.0049	0.0173	
63.0	-1.0557	-0.0049	0.0173	
63.5	-1.0553	-0.0054	0.0173	
70.0	-1.0570	-0.0097	0.0131	
70.0	-1.0570	-0.0097	0.0131	
70.5	-1.0575	-0.0099	0.0131	
