Date:	Tue, Nov 12, 2013			
HOPG 2cleaved within glove box				
Time	CPD	Change	Slope	Comments
20.5	-1.0158	0.0055	0.0042	
20.5	-1.0158	0.0055	0.0042	
20.5	-1.0158	0.0055	0.0042	
21.0	-1.0168	0.0053	0.0042	
21.0	-1.0168	0.0053	0.0042	
21.0	-1.0168	0.0053	0.0042	
21.5	-1.0158	0.0054	0.0042	
21.5	-1.0158	0.0054	0.0042	
21.5	-1.0158	0.0054	0.0042	
22.0	-1.0155	0.0057	0.0042	
22.0	-1.0155	0.0057	0.0042	
22.0	-1.0155	0.0057	0.0042	
22.5	-1.0158	0.0057	0.0042	
22.5	-1.0158	0.0057	0.0042	
22.5	-1.0158	0.0057	0.0042	
23.0	-1.0160	0.0057	0.0042	
23.0	-1.0160	0.0057	0.0042	
23.0	-1.0160	0.0057	0.0042	
23.5	-1.0163	0.0056	0.0042	
23.5	-1.0163	0.0056	0.0042	
23.5	-1.0163	0.0056	0.0042	
24.0	-1.0158	0.0057	0.0042	
24.0	-1.0158	0.0057	0.0042	
24.0	-1.0158	0.0057	0.0042	
24.5	-1.0162	0.0056	0.0042	
24.5	-1.0162	0.0056	0.0042	
24.5	-1.0162	0.0056	0.0042	
25.0	-1.0171	0.0052	0.0042	
27.5	-1.0157	0.0041	0.0042	
28.0	-1.0163	0.0040	0.0042	
28.0	-1.0163	0.0040	0.0042	
28.0	-1.0163	0.0040	0.0042	
28.5	-1.0170	0.0038	0.0042	
28.5	-1.0170	0.0038	0.0042	
28.5	-1.0170	0.0038	0.0042	
28.5	-1.0170	0.0038	0.0042	
29.0	-1.0175	0.0035	0.0042	
29.0	-1.0175	0.0035	0.0042	
29.0	-1.0175	0.0035	0.0042	
29.5	-1.0179	0.0032	0.0042	
29.5	-1.0179	0.0032	0.0042	
29.5	-1.0179	0.0032	0.0042	
30.0	-1.0177	0.0029	0.0042	
30.0	-1.0177	0.0029	0.0042	
30.0	-1.0177	0.0029	0.0042	
30.5	-1.0171	0.0027	0.0042	
30.5	-1.0171	0.0027	0.0042	
31.0	-1.0165	0.0027	0.0042	
31.0	-1.0165	0.0027	0.0042	
