Date:	Sun, Nov 17, 2013			
HOPG cleaved within, first spot. 1000 s after cleave . Started at -1.076				
Time	CPD	Change	Slope	Comments
929.0	-1.1040	-0.0007	0.0085	
933.5	-1.1057	-0.0003	0.0085	
934.0	-1.1062	-0.0003	0.0085	
934.5	-1.1073	-0.0004	0.0085	
935.0	-1.1074	-0.0005	0.0085	
935.5	-1.1053	-0.0004	0.0085	
936.0	-1.1048	-0.0004	0.0085	
936.5	-1.1056	-0.0004	0.0085	
936.5	-1.1056	-0.0004	0.0085	
937.0	-1.1017	-0.0002	0.0085	
937.5	-1.1036	-0.0000	0.0085	
937.5	-1.1036	-0.0000	0.0085	
938.5	-1.1073	-0.0001	0.0085	
939.0	-1.1071	-0.0001	0.0085	
939.5	-1.1077	-0.0002	0.0085	
939.5	-1.1077	-0.0002	0.0085	
940.0	-1.1083	-0.0003	0.0085	
940.0	-1.1083	-0.0003	0.0085	
940.0	-1.1083	-0.0003	0.0085	
940.5	-1.1059	-0.0003	0.0085	
940.5	-1.1059	-0.0003	0.0085	
940.5	-1.1059	-0.0003	0.0085	
941.0	-1.1054	-0.0002	0.0085	
941.0	-1.1054	-0.0002	0.0085	
941.0	-1.1054	-0.0002	0.0085	
941.5	-1.1063	-0.0003	0.0085	
941.5	-1.1063	-0.0003	0.0085	
942.0	-1.1075	-0.0003	0.0085	
942.0	-1.1075	-0.0003	0.0085	
942.0	-1.1075	-0.0003	0.0085	
942.5	-1.1072	-0.0004	0.0085	
943.5	-1.1077	-0.0004	0.0085	
944.0	-1.1081	-0.0005	0.0085	
944.0	-1.1081	-0.0005	0.0085	
944.0	-1.1081	-0.0005	0.0085	
944.5	-1.1061	-0.0005	0.0085	
944.5	-1.1061	-0.0005	0.0085	
944.5	-1.1061	-0.0005	0.0085	
945.0	-1.1041	-0.0004	0.0085	
945.0	-1.1041	-0.0004	0.0085	
945.5	-1.1065	-0.0005	0.0085	
945.5	-1.1065	-0.0005	0.0085	
945.5	-1.1065	-0.0005	0.0085	
946.0	-1.1066	-0.0006	0.0085	
946.0	-1.1066	-0.0006	0.0085	
946.0	-1.1066	-0.0006	0.0085	
1565.0	-1.1342	-0.0026	0.0039	
1565.0	-1.1342	-0.0026	0.0039	
1565.5	-1.1342	-0.0025	0.0039	
1565.5	-1.1342	-0.0025	0.0039	
1565.5	-1.1342	-0.0025	0.0039	
1566.0	-1.1347	-0.0026	0.0040	
1566.0	-1.1347	-0.0026	0.0040	
1566.0	-1.1347	-0.0026	0.0040	
1566.5	-1.1347	-0.0026	0.0040	
1566.5	-1.1347	-0.0026	0.0040	
1566.5	-1.1347	-0.0026	0.0040	
1567.0	-1.1347	-0.0026	0.0040	
1567.0	-1.1347	-0.0026	0.0040	
1567.5	-1.1345	-0.0027	0.0040	
1567.5	-1.1345	-0.0027	0.0040	
1567.5	-1.1345	-0.0027	0.0040	
1568.0	-1.1350	-0.0027	0.0043	
1568.0	-1.1350	-0.0027	0.0043	
1568.0	-1.1350	-0.0027	0.0043	
1568.5	-1.1342	-0.0027	0.0043	
1568.5	-1.1342	-0.0027	0.0043	
1569.0	-1.1341	-0.0027	0.0041	
1569.0	-1.1341	-0.0027	0.0041	
1569.0	-1.1341	-0.0027	0.0041	
1569.5	-1.1339	-0.0026	0.0041	
1572.0	-1.1349	-0.0027	0.0043	
1572.0	-1.1349	-0.0027	0.0043	
1572.6	-1.1347	-0.0028	0.0043	
1572.6	-1.1347	-0.0028	0.0043	
1573.0	-1.1347	-0.0028	0.0043	
1573.0	-1.1347	-0.0028	0.0043	
1573.0	-1.1347	-0.0028	0.0043	
1573.5	-1.1351	-0.0028	0.0043	
1573.5	-1.1351	-0.0028	0.0043	
1574.0	-1.1345	-0.0027	0.0043	
1574.5	-1.1346	-0.0027	0.0038	
1575.0	-1.1343	-0.0027	0.0038	
1575.0	-1.1343	-0.0027	0.0038	
1575.0	-1.1343	-0.0027	0.0038	
1575.5	-1.1346	-0.0026	0.0036	
1575.5	-1.1346	-0.0026	0.0036	
