Date:	Sun, Nov 17, 2013			
HOPG cleaved within, 2nd spot.				
Time	CPD	Change	Slope	Comments
				
1620.0	-1.1592	0.0016	0.0048	
2274.5	-1.1353	0.0012	0.0117	
2275.0	-1.1347	0.0013	0.0117	
2276.0	-1.1348	0.0015	0.0117	
2276.5	-1.1347	0.0016	0.0117	
2277.0	-1.1339	0.0018	0.0117	
2277.0	-1.1339	0.0018	0.0117	
2277.5	-1.1343	0.0019	0.0117	
2278.0	-1.1331	0.0021	0.0119	
2278.5	-1.1334	0.0023	0.0119	
2279.1	-1.1337	0.0023	0.0119	
2279.5	-1.1345	0.0024	0.0119	
2280.0	-1.1349	0.0025	0.0119	
2281.0	-1.1342	0.0028	0.0119	
2281.5	-1.1343	0.0029	0.0119	
2282.0	-1.1340	0.0031	0.0119	
2282.5	-1.1335	0.0032	0.0119	
2283.0	-1.1342	0.0033	0.0119	
2283.5	-1.1354	0.0035	0.0119	
2284.0	-1.1351	0.0036	0.0119	
