Date:	Mon, Nov 18, 2013			
hopg out, same piece different spot				
Time	CPD	Change	Slope	Comments
				
2.0	-1.1069	-0.0363	0.0014	
2.5	-1.1073	-0.0429	0.0018	
3.0	-1.1079	-0.0482	0.0024	
4.0	-1.1084	-0.0473	0.0029	
5.0	-1.1077	-0.0368	0.0029	
6.0	-1.1068	-0.0218	0.0029	
7.5	-1.1075	-0.0130	0.0029	
8.5	-1.1081	-0.0127	0.0029	
9.5	-1.1082	-0.0127	0.0029	
10.5	-1.1080	-0.0121	0.0031	
12.0	-1.1072	-0.0079	0.0031	
13.5	-1.1073	-0.0051	0.0031	
14.5	-1.1076	-0.0044	0.0031	
16.0	-1.1076	-0.0035	0.0031	
17.5	-1.1070	-0.0022	0.0031	
19.0	-1.1070	-0.0010	0.0031	
20.5	-1.1087	-0.0019	0.0032	
22.0	-1.1079	-0.0024	0.0032	
24.0	-1.1069	-0.0013	0.0032	
25.0	-1.1070	-0.0010	0.0032	
26.5	-1.1080	-0.0012	0.0032	
27.5	-1.1081	-0.0014	0.0032	
