Date:	Mon, Nov 18, 2013			
SiH low res (1-5mOhm) in box 4min 50 after etch measurement started 8min 40 after etch				
Time	CPD	Change	Slope	Comments
173.5	-1.4749	-0.0005	0.0034	
178.0	-1.4763	-0.0002	0.0034	
178.0	-1.4763	-0.0002	0.0034	
178.0	-1.4763	-0.0002	0.0034	
178.6	-1.4761	-0.0002	0.0034	
178.6	-1.4761	-0.0002	0.0034	
178.6	-1.4761	-0.0002	0.0034	
180.0	-1.4761	-0.0002	0.0034	
180.5	-1.4760	-0.0003	0.0034	
180.5	-1.4760	-0.0003	0.0034	
180.5	-1.4760	-0.0003	0.0034	
181.0	-1.4754	-0.0002	0.0034	
181.0	-1.4754	-0.0002	0.0034	
181.0	-1.4754	-0.0002	0.0034	
181.5	-1.4753	-0.0002	0.0034	
181.5	-1.4753	-0.0002	0.0034	
181.5	-1.4753	-0.0002	0.0034	
182.0	-1.4750	-0.0001	0.0034	
182.0	-1.4750	-0.0001	0.0034	
182.0	-1.4750	-0.0001	0.0034	
182.5	-1.4751	-0.0001	0.0034	
182.5	-1.4751	-0.0001	0.0034	
182.5	-1.4751	-0.0001	0.0034	
183.0	-1.4753	0.0000	0.0034	
183.0	-1.4753	0.0000	0.0034	
183.0	-1.4753	0.0000	0.0034	
183.5	-1.4755	0.0001	0.0034	
183.5	-1.4755	0.0001	0.0034	
183.5	-1.4755	0.0001	0.0034	
184.0	-1.4753	0.0002	0.0034	
184.0	-1.4753	0.0002	0.0034	
184.5	-1.4754	0.0002	0.0033	
184.5	-1.4754	0.0002	0.0033	
184.5	-1.4754	0.0002	0.0033	
185.0	-1.4757	0.0003	0.0033	
185.0	-1.4757	0.0003	0.0033	
185.0	-1.4757	0.0003	0.0033	
185.5	-1.4758	0.0004	0.0032	
185.5	-1.4758	0.0004	0.0032	
185.5	-1.4758	0.0004	0.0032	
186.0	-1.4757	0.0005	0.0030	
186.0	-1.4757	0.0005	0.0030	
186.0	-1.4757	0.0005	0.0030	
193.0	-1.4748	0.0006	0.0028	
193.0	-1.4748	0.0006	0.0028	
193.5	-1.4749	0.0006	0.0028	
193.5	-1.4749	0.0006	0.0028	
193.5	-1.4749	0.0006	0.0028	
194.0	-1.4751	0.0006	0.0028	
194.0	-1.4751	0.0006	0.0028	
194.5	-1.4749	0.0006	0.0028	
194.5	-1.4749	0.0006	0.0028	
194.5	-1.4749	0.0006	0.0028	
195.0	-1.4746	0.0006	0.0028	
195.0	-1.4746	0.0006	0.0028	
195.0	-1.4746	0.0006	0.0028	
195.5	-1.4745	0.0006	0.0028	
195.5	-1.4745	0.0006	0.0028	
195.5	-1.4745	0.0006	0.0028	
196.0	-1.4748	0.0006	0.0028	
196.0	-1.4748	0.0006	0.0028	
196.5	-1.4753	0.0006	0.0028	
196.5	-1.4753	0.0006	0.0028	
196.5	-1.4753	0.0006	0.0028	
197.0	-1.4754	0.0006	0.0028	
197.0	-1.4754	0.0006	0.0028	
197.0	-1.4754	0.0006	0.0028	
197.5	-1.4754	0.0006	0.0028	
197.5	-1.4754	0.0006	0.0028	
198.0	-1.4753	0.0007	0.0028	
198.0	-1.4753	0.0007	0.0028	
198.0	-1.4753	0.0007	0.0028	
198.5	-1.4753	0.0007	0.0028	
198.5	-1.4753	0.0007	0.0028	
199.0	-1.4757	0.0007	0.0028	
199.0	-1.4757	0.0007	0.0028	
199.0	-1.4757	0.0007	0.0028	
199.5	-1.4755	0.0008	0.0028	
199.5	-1.4755	0.0008	0.0028	
200.0	-1.4752	0.0008	0.0028	
200.0	-1.4752	0.0008	0.0028	
200.0	-1.4752	0.0008	0.0028	
200.5	-1.4748	0.0009	0.0028	
200.5	-1.4748	0.0009	0.0028	
201.0	-1.4747	0.0010	0.0027	
201.0	-1.4747	0.0010	0.0027	
201.0	-1.4747	0.0010	0.0027	
201.5	-1.4748	0.0011	0.0027	
201.5	-1.4748	0.0011	0.0027	
202.0	-1.4749	0.0011	0.0027	
202.0	-1.4749	0.0011	0.0027	
202.0	-1.4749	0.0011	0.0027	
202.5	-1.4746	0.0012	0.0027	
202.5	-1.4746	0.0012	0.0027	
203.0	-1.4746	0.0012	0.0027	
203.0	-1.4746	0.0012	0.0027	
203.0	-1.4746	0.0012	0.0027	
203.5	-1.4749	0.0012	0.0027	
203.5	-1.4749	0.0012	0.0027	
204.0	-1.4748	0.0012	0.0027	
204.0	-1.4748	0.0012	0.0027	
204.0	-1.4748	0.0012	0.0027	
